ID,Main,Location,Corporation,Href,Date
0,SAP S/4HANA tanácsadó Finance és...,Budapest,PBS International Kft.,https://itpeople.hu/allasok/budapest/sap-s4hana-tanacsado-finance-es-controlling-teruleten-nemzetkozi-projektek/5794000,2023-04-17
1,Junior Sharepoint and Collaborat...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/junior-sharepoint-and-collaboration-support-specialist-german-speaking/5790000,2023-04-17
2,DevOps Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/devops-engineer/5788000,2023-04-17
3,Medior C# Fejlesztő,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/medior-c-fejleszto/5787000,2023-04-17
4,System Administrator,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/system-administrator/5786000,2023-04-17
5,Solution Architect - FORCAM,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/solution-architect-forcam/5785000,2023-04-17
6,Process Mining Project Lead,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/process-mining-project-lead/5783000,2023-04-17
7,"ERP tanácsadó, konzulens",Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/erp-tanacsado-konzulens/5782000,2023-04-17
8,ui/ux designer ,Távmunka,Miell Jobline Kft.,https://itpeople.hu/allasok/otthon/uiux-designer-/3791000,2023-04-17
9,SENIOR DEVOPS ENGINEER,Budapest,Fox HR Consulting Ltd. ,https://itpeople.hu/allasok/budapest/senior-devops-engineer/5778000,2023-04-17
10,Developer Lead,Budapest,IJob,https://itpeople.hu/allasok/budapest-xi-kerulet/developer-lead/5777000,2023-04-17
11,FULL-STACK FEJLESZTŐ ,Budapest,Fox HR Consulting Ltd. ,https://itpeople.hu/allasok/budapest/full-stack-fejleszto-java-angular/5776000,2023-04-17
12,TEST AUTOMATION ENGINEER WITH PY...,Budapest,Fox HR Consulting Ltd. ,https://itpeople.hu/allasok/budapest/test-automation-engineer-with-pytest/5775000,2023-04-17
13,Diákmunka - Tesztkeretrendszer f...,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest-xi-kerulet/diakmunka-tesztkeretrendszer-fejleszto-gyakornok/5770000,2023-04-17
14,Diákmunka - Tool Developer Trainee ,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/miskolc/diakmunka-tool-developer-trainee-miskolc/5769000,2023-04-17
15,Senior Machine Learning Engineer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/senior-machine-learning-engineer/5768000,2023-04-17
16,Project Manager - Global Identit...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/project-manager-global-identityaccess-management-operations-support/5766000,2023-04-17
17,Software Architect,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/software-architect/5765000,2023-04-17
18,Szoftvertesztelő mérnök - Beágya...,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/szoftvertesztelo-mernok-beagyazott-rendszerek/5764000,2023-04-17
19,Integration Business Analyst,Budapest,IJob,https://itpeople.hu/allasok/budapest-xi-kerulet/integration-business-analyst/5762000,2023-04-17
20,Intermediate C++ developer,Budapest,Fox HR Consulting Ltd. ,https://itpeople.hu/allasok/budapest/intermediate-c-developer/5761000,2023-04-17
21,Diákmunka - Field Tester ,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest/diakmunka-field-tester-in-oslo/5760000,2023-04-17
22,Diákmunka - Szoftvertesztelő - w...,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest-xii-kerulet/diakmunka-szoftvertesztelo-webes-frontend/5615000,2023-04-17
