ID,Main,Location,Corporation,Href,Date
0,Frontend Software Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/frontend-software-engineer-1276698,2023-04-17
1,Kiemelt        Értékesítési és marketing munkatárs,"Győrújbarát, Liszt Ferenc u. 9, 9081 Magyarország, Győr-Moson-Sopron",VASKAKAS és Társa Kft.,https://www.cvonline.hu/hu/premium/allas/ertekesitesi-es-marketing-munkatars-1270032,2023-04-17
2,IT RENDSZERÜZEMELTETŐ,"Budapest, Pest, Budapest",Unix Autó Kft.,https://www.cvonline.hu/hu/standard/allas/it-rendszeruzemelteto-1282258,2023-04-17
3,Junior/Medior/Senior/Lead Szoftver tesztautomatizáló mérnök,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/szoftver-tesztautomatizalo-mernok-1092296,2023-04-17
4,Full Stack Developer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/full-stack-developer-1216238,2023-04-17
5,Irányítástechnikai mérnök,Budaörs,Humán Centrum Kft.,https://www.cvonline.hu/hu/allas/iranyitastechnikai-mernok-1265250,2023-04-17
6,SENIOR SOFTWARE ENGINEER,,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/senior-software-engineer-1257355,2023-04-17
7,.NET DEVELOPER,Pest,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/net-developer-1267451,2023-04-17
8,HARDVERFEJLESZTŐ VILLAMOSMÉRNÖK GYAKORNOK,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/hardverfejleszto-villamosmernok-gyakornok-1282103,2023-04-17
9,SZOFTVERTESZTELŐ GYAKORNOK,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/szoftvertesztelo-gyakornok-1237409,2023-04-17
10,SZOFTVERFEJLESZTŐ GYAKORNOK – TOPCO,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/allas/szoftverfejleszto-gyakornok-topco-1237406,2023-04-17
11,SQD TRAINEE,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/sqd-trainee-1233971,2023-04-17
12,RENDSZER TESZTMÉRNÖK GYAKORNOK,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/rendszer-tesztmernok-gyakornok-1223300,2023-04-17
13,PROJEKT KOORDINÁCIÓS ÉS ADMINISZTRÁCIÓS GYAKORNOK,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/projekt-koordinacios-es-adminisztracios-gyakornok-1222741,2023-04-17
14,C# TESZTELŐ GYAKORNOK – VASÚTI VEZETŐ TANÁCSADÓ RENDSZEREK,"Budapest, Pest",Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/c-tesztelo-gyakornok-vasuti-vezeto-tanacsado-rendszerek-1223295,2023-04-17
15,BEÁGYAZOTT SZOFTVERFEJLESZTŐ GYAKORNOK,Budapest,Knorr-Bremse Rail Systems Budapest,https://www.cvonline.hu/hu/standard/allas/beagyazott-szoftverfejleszto-gyakornok-1222757,2023-04-17
16,DWH (MicroStrategy) Architect,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/dwh-microstrategy-architect-1276428,2023-04-17
17,C++ FEJLESZTŐ,Budapest,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/c-fejleszto-1282248,2023-04-17
18,Test Engineer - Tatabánya,"Tatabánya, 2800 Magyarország",T-HR Kft.,https://www.cvonline.hu/hu/allas/test-engineer-tatabanya-1219859,2023-04-17
19,"TESZTRENDSZERFEJLESZTÉSI CSOPORTVEZETŐ (PROJEKTVEZETÉS, TESZTRENDSZEREK, ANGOL)",Veszprém,IMPC Personnel Hungária Kft.,https://www.cvonline.hu/hu/allas/tesztrendszerfejlesztesi-csoportvezeto-projektvezetes-tesztrendszerek-angol-1145039,2023-04-17
20,Kiemelt        IT Security Manager (REF194D),"Budapest, Debrecen, Pécs, Szeged",Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/it-security-manager-ref194d-1281639,2023-04-17
21,Kiemelt        Cyber Security Analyst Tier2 (REF196L),"Budapest, Debrecen, Pécs, Szeged",Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/cyber-security-analyst-tier2-ref196l-1281640,2023-04-17
22,Kiemelt        Informatikai munkatársat,"Monor, 2200 Magyarország, Pest",SHINHEUNG SEC EU Kft.,https://www.cvonline.hu/hu/premium/allas/informatikai-munkatars-1275485,2023-04-17
23,Senior Java Engineer,Budapest,RecruIT Kft.,https://www.cvonline.hu/hu/allas/senior-java-engineer-1041681,2023-04-17
24,Frontend Fejlesztő,Pécs,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/frontend-fejleszto-1171726,2023-04-17
25,IT Specialist,Tiszaújváros,HSA Kft.,https://www.cvonline.hu/hu/allas/it-specialist-1119557,2023-04-17
26,Rendszergazda,Tiszaújváros,HSA Kft.,https://www.cvonline.hu/hu/allas/rendszergazda-1201062,2023-04-17
27,Senior Software Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-software-engineer-1100843,2023-04-17
28,Software engineer team lead,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/software-engineer-team-lead-1100844,2023-04-17
29,Cybersecurity Project Manager,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cybersecurity-project-manager-1181127,2023-04-17
30,Senior Full-stack developer C#/Angular,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-full-stack-developer-c-angular-1219776,2023-04-17
31,Data Scientist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/data-scientist-1219778,2023-04-17
32,SAP Key user MM/PP,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/sap-key-user-mm-pp-1176538,2023-04-17
33,Java backend developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/java-backend-developer-1217238,2023-04-17
34,IT KOORDINÁTOR,Fejér,IMPC Personnel Hungária Kft.,https://www.cvonline.hu/hu/allas/it-koordinator-1203054,2023-04-17
35,Security Tech Professional,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/security-tech-professional-1239025,2023-04-17
36,Implementation Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/implementation-engineer-1218536,2023-04-17
37,Devops Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/devops-engineer-1218537,2023-04-17
38,Embedded Penetration Tester (Ethical Hacker),Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/embedded-penetration-tester-ethical-hacker-1207770,2023-04-17
39,Cloud Analyzer Specialit,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cloud-analyzer-specialit-1219781,2023-04-17
40,Software Project Manager - Automotive industry,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/software-project-manager-automotive-industry-1253666,2023-04-17
41,Product Cybersecurity GRC/Auditor,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/product-cybersecurity-grc-auditor-1253670,2023-04-17
42,RPA Developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/rpa-developer-1246159,2023-04-17
43,Service Delivery Manager,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/service-delivery-manager-1207773,2023-04-17
44,Processing Support Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/processing-support-specialist-1218535,2023-04-17
45,Security Management Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/security-management-specialist-1234967,2023-04-17
46,Test Automation Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/test-automation-engineer-1200183,2023-04-17
47,Operator 7X24,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/operator-7x24-1207774,2023-04-17
48,Senior Backend Developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-backend-developer-1219775,2023-04-17
49,Vulnerability Management Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/vulnerability-management-specialist-1222432,2023-04-17
50,Front End engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/front-end-engineer-1223480,2023-04-17
51,Security Tech Specialist,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/security-tech-specialist-1225122,2023-04-17
52,Technical Security Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/technical-security-engineer-1225123,2023-04-17
53,Cisco Data 2nd Line Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cisco-data-2nd-line-engineer-1225481,2023-04-17
54,Data Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/data-engineer-1266158,2023-04-17
55,Senior Java developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-java-developer-1266159,2023-04-17
56,Security Officer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/security-officer-1266160,2023-04-17
57,QA Test Automation Engineer (Pytest),Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/qa-test-automation-engineer-pytest-1266161,2023-04-17
58,C ++ developer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/c-developer-1266163,2023-04-17
59,System Administrator,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/system-administrator-1155595,2023-04-17
60,Cybersecurity & Safety Analyst – Előfejlesztés (K  F   I),Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/cybersecurity-safety-analyst-elofejlesztes-k-f-i-1199286,2023-04-17
61,Senior Quality Assurance Lead,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-quality-assurance-lead-1232167,2023-04-17
62,DevOps Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/devops-engineer-1232880,2023-04-17
63,Information Security Analyst,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/information-security-analyst-1234968,2023-04-17
64,Software Project Manager,Szombathely,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/software-project-manager-1239031,2023-04-17
65,1st line Operator (E-commerce),Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/1st-line-operator-e-commerce-1275929,2023-04-17
66,Embedded Software Tester,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/embedded-software-tester-1216803,2023-04-17
67,Windows System Administrator,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/windows-system-administrator-1226201,2023-04-17
68,"Principal Engineer, Full Stack Architect",Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/principal-engineer-full-stack-architect-1227663,2023-04-17
69,C  / QT Engineer,Budapest,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/c-qt-engineer-1269353,2023-04-17
70,PROJECT MANAGER (System Validation),Veszprém,IMPC Personnel Hungária Kft.,https://www.cvonline.hu/hu/allas/project-manager-system-validation-1145038,2023-04-17
71,Software Engineer,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/software-engineer-1100710,2023-04-17
