ID,Main,Location,Corporation,Href,Date
0,PRODUCTION SYSTEM SPECIALIST / DEVOPS ENGINEER - Budapest,Budapest,T-HR Kft.,https://www.cvonline.hu/hu/allas/production-system-specialist-devops-engineer-budapest-1189246,2023-03-21
1,Multilingual Service Desk Analyst,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/multilingual-service-desk-analyst-1234030,2023-03-21
2,Kiemelt        C# programmer,"Gödöllő, Budapest",3D Infotech Kft.,https://www.cvonline.hu/hu/master/allas/c-programmer-1197923,2023-03-21
3,Backend Engineer (Scala) - protect team,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/backend-engineer-scala-protect-team-1176428,2023-03-21
4,Lead Developer IoT Cloud,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/lead-developer-iot-cloud-1195806,2023-03-21
5,IT Support Munkatárs,Borsod-Abaúj-Zemplén,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/it-support-munkatars-1254995,2023-03-21
6,Application Project Coordinator,Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/application-development-project-manager-1261323,2023-03-21
7,Cloud DevOps Engineer,Kecskemét,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/cloud-devops-engineer-1264310,2023-03-21
8,PLC technikus,"Túrkeve, 5420 Magyarország",Work Force Kft.,https://www.cvonline.hu/hu/allas/plc-technikus-1254967,2023-03-21
9,Kiemelt        Műszaki supportos IT rendszergazda,"Budapest, Pest",MOHAnet Zrt.,https://www.cvonline.hu/hu/master/allas/muszaki-supportos-it-rendszergazda-1220756,2023-03-21
10,ÜZLETI ELEMZŐ (16-2123),Veszprém,HumanField Vezető- és Specialistakiválasztó Kft.,https://www.cvonline.hu/hu/standard/allas/uzleti-elemzo-16-2123-1267677,2023-03-21
11,Kiemelt        Gépészmérnök,"Győr, Győr-Moson-Sopron",Rába Futómû Kft.,https://www.cvonline.hu/hu/premium/allas/gepeszmernok-1260788,2023-03-21
12,Kiemelt        Tervezőmérnök,"Győr, Győr-Moson-Sopron",Rába Futómû Kft.,https://www.cvonline.hu/hu/premium/allas/tervezomernok-1260763,2023-03-21
13,Digitalization Project Manager (Retail),Budapest,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/business-analyst-store-process-digitalization-1193084,2023-03-21
14,BANKBIZTONSÁGI MUNKATÁRS - FIÓKTÁMOGATÁS,"Budapest, Pest",MKB Bank Nyrt.,https://www.cvonline.hu/hu/standard/allas/bankbiztonsagi-munkatars-fioktamogatas-1257795,2023-03-21
