ID,Main,Location,Corporation,Salary,Href,Date
292,Vision Application Engineer,Nitra,Muehlbauer Technologies s.r.o.,2 200 EUR/mesiac,/praca/muehlbauer-technologies/O4197051,2023-02-21
293,C# SW Developer ,Nitra,Muehlbauer Technologies s.r.o.,1 500 EUR/mesiac,/praca/muehlbauer-technologies/O3980655,2023-02-21
294,Java programátor,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","SoliT, s.r.o.",2 000 EUR/mesiac,/praca/solit/O2896112,2023-02-21
295,Dátový analytik,"Mlynská 31/837, Košice",Východoslovenská energetika Holding a.s.,2 100 EUR/mesiac,/praca/vychodoslovenska-energetika-holding/O4519498,2023-02-21
296,GoLang Developer for Open Sovereign Cloud,Košice,Deutsche Telekom IT Solutions Slovakia,1 680 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4395837,2023-02-21
297,Junior Application Specialist with German,"BBC 5, Plynárenská, Ružinov, Slovakia, Bratislava (Job with occasional home office)","Accenture, s.r.o.",2 500 EUR/mesiac,/praca/accenture/O3961961,2023-02-21
298,Cloud Solutions Architect,"Mlynské nivy 12, Bratislava, Slovakia (Job with occasional home office)",Swiss Re,1 250 EUR/mesiac,/praca/swiss-re/O4493636,2023-02-21
299,SAP R/3 Finance (FI) Consultant,"Bratislava Region, Slovakia, Bratislava region (Job with occasional home office)",Siemens Slovensko,3 500 EUR/mesiac,/praca/siemens-slovensko/O4470578,2023-02-21
300,Medior Java Developer,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,2 900 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4453635,2023-02-21
301,PHP/Angular developer (eCommerce project),Žilina,Siemens Slovensko,2 100 EUR/mesiac,/praca/siemens-slovensko/O4348993,2023-02-21
302,Full stack developer junior for MAGNUS project,"Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,2 100 EUR/mesiac,/praca/siemens-slovensko/O4304126,2023-02-21
303,Hybrid Cloud Service Manager (SAP Infrastructure & Services),"Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,,/praca/siemens-slovensko/O4304122,2023-02-21
304,Java developer - TPP/živnosť & Remote,Bratislava,Grafton Slovakia s.r.o.,2 000 EUR/mesiac,/praca/grafton-slovakia/O4519411,2023-02-21
305,Angular Developer,Košice,Grafton Slovakia s.r.o.,1 900 - 3 000 EUR/mesiac,/praca/grafton-slovakia/O4519310,2023-02-21
306,RPA Developer,"Plynárenská 5, 821 09 Bratislava - Ružinov","SOITRON, s.r.o.",2 000 - 3 500 EUR/mesiac,/praca/soitron/O4519287,2023-02-21
307,.Net developer (medior/senior),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","ANASOFT APR, spol. s r.o.",1 800 EUR/mesiac,/praca/anasoft-apr/O3025370,2023-02-21
308,Data Engineer (Data Tower),"Bottova, Bratislava, Slovakia (Job with occasional home office)",Synpulse Slovakia s.r.o.,3 000 - 5 500 EUR/mesiac,/praca/synpulse-slovakia/O4519239,2023-02-21
309,Lektor programovania pre deti - online forma,Práca z domu,Algorithmics s. r. o.,2 300 EUR/mesiac,/praca/algorithmics/O4146644,2023-02-21
310,SW Developer,"Máchova 6, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","CANEX, spol. s r.o.","6,75 - 22,5 EUR/hod.",/praca/canex/O4505113,2023-02-21
311,.NET / C# Developer- Full Time Remote / 100% HO. TPP / Živnosť,Práca z domu,SEITEQ s.r.o.,2 500 - 3 000 EUR/mesiac,/praca/seiteq/O4153609,2023-02-21
312,Android Developer / Developer mobilných aplikácii pre Android / Živnosť / S.r.o.,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",SEITEQ s.r.o.,2 300 - 2 800 EUR/mesiac,/praca/seiteq/O4511304,2023-02-21
313,Full-Stack Developer for Cloud IOT applications,"Karadžičova 8, Bratislava, Slovakia (Job with occasional home office)",FREQUENTIS Solutions & Services s. r. o.,35 EUR/hod.,/praca/frequentis-solutions-services/O4019411,2023-02-21
314,"Programátor Java (Banking, Health, Insurance, Public)","Bratislavský kraj, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Asseco Central Europe, a. s.",2 700 EUR/mesiac,/praca/asseco-central-europe/O4519037,2023-02-21
315,Junior .NET/C# Programátor,"Poštová, Žilina-Vlčince, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Descartes Systems (Slovakia) s.r.o.,2 500 EUR/mesiac,/praca/descartes-systems-slovakia/O4519035,2023-02-21
316,UI/UX Designer,Práca z domu,"ICP Integrated Computer Programs, s.r.o.",1 800 EUR/mesiac,/praca/icp-integrated-computer-programs/O4502892,2023-02-21
317,Programátor - špecialista informatik ,Bratislava,"Národná diaľničná spoločnosť, a.s.",1 800 - 2 000 EUR/mesiac,/praca/narodna-dialnicna-spolocnost/O4499565,2023-02-21
318,Embedded C++ softvérový/-á vývojár/-ka,"Galvaniho, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",HMH s.r.o.,1 800 EUR/mesiac,/praca/hmh/O4494840,2023-02-21
319,JAVA programátor (Senior),"Krasovského, Petržalka, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)","DATALAN, a.s.",2 100 EUR/mesiac,/praca/datalan/O4518959,2023-02-21
320,SW System Architect (focus on back-office),"Košice, Slovakia (Job with occasional home office)",Scheidt & Bachmann Slovensko s.r.o.,3 600 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4518956,2023-02-21
321,ICT Architect – One.Identity,Remote work,"ADECCO Slovakia, s. r. o.",2 050 EUR/mesiac,/praca/adecco-slovakia/O4518936,2023-02-21
322,"Fullstack Developer (c#, .net, javascript, Web stack (html5, css3))",Bratislavský kraj,"Manuvia, a. s.",2 200 EUR/mesiac,/praca/manuvia/O4518913,2023-02-21
323, Laravel Developer (FinTech),"Pribinova 6, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","WORLD BUSINESS PRESS online, a.s.",,/praca/world-business-press-online/O4481831,2023-02-21
324,Hľadáme šikovného Javistu pre projekt v oblasti SmartCity!,Bratislava,PosAm spol. s r.o.,2 500 EUR/mesiac,/praca/posam/O4518899,2023-02-21
325,Java programátor expert - Home Office/Office,Práca z domu,msg life Slovakia s.r.o.,2 900 EUR/mesiac,/praca/msg-life-slovakia/O4288902,2023-02-21
326,SAP ABAP Developer pre BOOTIQ,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",BOOTIQ SK s.r.o.,3 000 EUR/mesiac,/praca/bootiq-sk/O4063762,2023-02-21
327,Software Design Engineer,"Dubnica nad Váhom, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Bel Power Solutions, s.r.o.",2 500 EUR/mesiac,/praca/bel-power-solutions/O4518885,2023-02-21
328,Hľadáme Java developera s potenciálom stať sa Tímlídrom! ,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",PosAm spol. s r.o.,2 000 EUR/mesiac,/praca/posam/O4518880,2023-02-21
329,Java programátor junior - Home Office/Office,Práca z domu,msg life Slovakia s.r.o.,2 900 EUR/mesiac,/praca/msg-life-slovakia/O4138912,2023-02-21
330,Backend programátor,"Univerzitná 8661/6a, Žilina","Asseco CEIT, a.s.",1 900 EUR/mesiac,/praca/asseco-ceit/O4518858,2023-02-21
331,Programátor lasera,"SNP 1, Liptovský Hrádok","VATMANN, spol. s r.o.",2 000 - 4 000 EUR/mesiac,/praca/vatmann/O4518823,2023-02-21
332,C++ Developer for Meteorological Information Systems,"Bratislava, Slovakia (Job with occasional home office)",Grain Slovakia s.r.o.,1 000 - 1 200 EUR/mesiac,/praca/grain-slovakia/O4434191,2023-02-21
333,C# developer for healthcare products,"Žilina Region, Slovakia, Žilina region (Job with occasional home office)",Siemens Slovensko,2 100 - 3 200 EUR/mesiac,/praca/siemens-slovensko/O4518802,2023-02-21
334,Java programátor,Práca z domu,"ADECCO Slovakia, s. r. o.",1 600 EUR/mesiac,/praca/adecco-slovakia/O4518761,2023-02-21
335,Systémový administrátor - špecialista na Docker,"Košice, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Asseco Central Europe, a. s.",2 300 EUR/mesiac,/praca/asseco-central-europe/O4518756,2023-02-21
