ID,Main,Location,Corporation,Href,Date
0,IT Rendszermérnök,Budapest,Építési és Közlekedési Minisztérium,https://www.profession.hu/allas/it-rendszermernok-epitesi-es-kozlekedesi-miniszterium-2120368?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
1,SAP Application Developer,3527 Miskolc,Gramont Kft.,https://www.profession.hu/allas/sap-application-developer-gramont-kft-miskolc-2111008?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
2,Devops fejlesztő,Országosan bárhonnan pályázható,Profession Services,https://www.profession.hu/allas/devops-fejleszto-profession-services-2114376/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
3,Data Engineering Manager,Országosan bárhonnan pályázható,Avis Budget Group BSC Kft.,https://www.profession.hu/allas/data-engineering-manager-avis-budget-group-bsc-kft-2106439/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
4,Frontend fejlesztő,"7630 Pécs, Koksz utca 127.",EU-SOLAR Nyrt.,https://www.profession.hu/allas/frontend-fejleszto-eu-solar-nyrt-pecs-2111719?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
5,Senior adatmérnök / Java fejlesztő,"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/senior-adatmernok-java-fejleszto-uniqa-raiffeisen-software-service-kft-budapest-2104404?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
6,IT Üzleti elemző,"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/it-uzleti-elemzo-uniqa-raiffeisen-software-service-kft-budapest-2104427?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
7,IT Security Analyst,"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/it-security-analyst-uniqa-raiffeisen-software-service-kft-budapest-2104398?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
8,Fejlesztőmérnök / Kutató-fejlesztő mérnök,"8900 Zalaegerszeg, ZalaZONE tér 1.",ZalaZONE InnoTech Nonprofit Kft.,https://www.profession.hu/allas/fejlesztomernok-kutato-fejleszto-mernok-zalazone-innotech-nonprofit-kft-zalaegerszeg-2113246/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
9,Rendszergazda,"7630 Pécs, Koksz utca 127.",EU-SOLAR Nyrt.,https://www.profession.hu/allas/rendszergazda-eu-solar-nyrt-pecs-2111714?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-12
