ID,Main,Location,Corporation,Href,Date
26,Application Tech Lead,Budapest,NNG Kft.,https://www.profession.hu/allas/application-tech-lead-nng-kft-2153104?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
27,Adatbázis Fejlesztő,"Budapest, V. kerület",Profession Services,https://www.profession.hu/allas/adatbazis-fejleszto-profession-services-budapest-2153754/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
28,Full-Stack Fejlesztő,Budapest V. kerület,Profession Services,https://www.profession.hu/allas/full-stack-fejleszto-profession-services-budapest-2153720/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
29,Beágyazott sw fejlesztő,"1097 Budapest, Illatos út 11b.",GAMMA ZRt.,https://www.profession.hu/allas/beagyazott-sw-fejleszto-gamma-zrt-budapest-2153750?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
30,Technical leader,Budapest,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),https://www.profession.hu/allas/technical-leader-ceva-phylaxia-oltoanyagtermelo-zrt-ceva-sante-animale-2153701?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
31,Service desk agent (Italian speaking),"Budapest, IX. kerület",Cognizant Technology Solutions Hungary Kft.,https://www.profession.hu/allas/service-desk-agent-italian-speaking-cognizant-technology-solutions-hungary-kft-budapest-2153709/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
32,Üzleti folyamat támogató területi referens (PM MODUL),Debrecen,OPTESZ OPUS Energetikai Támogató Zártkörűen Működő Részvénytársaság,https://www.profession.hu/allas/uzleti-folyamat-tamogato-teruleti-referens-pm-modul-optesz-opus-energetikai-tamogato-zartkoruen-mukodo-reszvenytarsasag-debrecen-2153704?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
33,Medior manuális tesztelő,"1118 Budapest, Rétköz utca 7.",Abesse Informatikai Tanácsadó Zrt.,https://www.profession.hu/allas/medior-manualis-tesztelo-abesse-informatikai-tanacsado-zrt-budapest-2153600/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
34,Junior Backend Engineer,Hajdú-Bihar megye,Shoprenter Kft.,https://www.profession.hu/allas/junior-backend-engineer-shoprenter-kft-2153372?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
35,Rugalmassági platform fejlesztési munkatárs,"Budapest, Debrecen, Győr",E.ON Energiatermelő Kft.,https://www.profession.hu/allas/rugalmassagi-platform-fejlesztesi-munkatars-e-on-energiatermelo-kft-2153117?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
36,Mérőeszköz technikus,9724 Lukácsháza,Prohumán 2004 Kft.,https://www.profession.hu/allas/meroeszkoz-technikus-prohuman-kft-lukacshaza-2153254?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
37,Kameratechnikus,9724 Lukácsháza,Prohumán 2004 Kft.,https://www.profession.hu/allas/kameratechnikus-prohuman-kft-lukacshaza-2153253?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-27
