ID,Main,Location,Corporation,Href,Date
0,Medior / Senior IT Business Analyst - Rendszerszervező,"Budapest, IX. kerület",Nova Human Resources Kft.,https://www.profession.hu/allas/medior-senior-it-business-analyst-rendszerszervezo-nova-human-resources-kft-budapest-2146025?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
1,Alkalmazásgazda,"Budapest, Paks",MVM Informatika Zrt.,https://www.profession.hu/allas/alkalmazasgazda-mvm-informatika-zrt-2146006?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
2,SCCM Engineer,Budapest,Unisys,https://www.profession.hu/allas/sccm-engineer-unisys-2145947?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
3,Identity & Access Management Developer,Budapest,Deloitte Zrt.,https://www.profession.hu/allas/identity-access-management-developer-deloitte-zrt-2145746?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
4,Vállalatirányítási informatikai csoportvezető,2072 Zsámbék,Medicontur Orvostechnikai Kft.,https://www.profession.hu/allas/vallalatiranyitasi-informatikai-csoportvezeto-medicontur-orvostechnikai-kft-zsambek-2145804?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
5,Projektmenedzser gyakornok (Veszprém),Veszprém,E.ON Észak-dunántúli Áramhálózati Zrt.,https://www.profession.hu/allas/projektmenedzser-gyakornok-veszprem-e-on-eszak-dunantuli-aramhalozati-zrt-veszprem-2145529?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
6,Bérügyi Termékmenedzser,"Budapest, XI. kerület",LAUREL Számítástechnikai Kft.,https://www.profession.hu/allas/berugyi-termekmenedzser-laurel-szamitastechnikai-kft-budapest-2145777?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
7,IT Service Desk Analyst (German and English),"Budapest, Pécs",ALDI International IT Services Kft.,https://www.profession.hu/allas/it-service-desk-analyst-german-and-english-aldi-international-it-services-kft-2142643?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
8,Szoftverfejlesztési csoportvezető (beágyazott fejlesztés),"9024 Győr, Zrínyi utca 11.",EDAG Hungary Kft.,https://www.profession.hu/allas/szoftverfejlesztesi-csoportvezeto-beagyazott-fejlesztes-edag-hungary-kft-gyor-2145743?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
9,Database Architect Delivery Lead – Remote role,Otthonról végezhető,Johnson Controls,https://www.profession.hu/allas/database-architect-delivery-lead-remote-role-johnson-controls-2145711?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
10,Ügyfél-Adminisztrátor (IT területre),"Budapest, VIII.kerület",Poli Computer PC Kft.,https://www.profession.hu/allas/ugyfel-adminisztrator-it-teruletre-poli-computer-pc-kft-budapest-2145635?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
11,Informatikus/IT szakember,Kapuvár,Intretech Hungary Kft,https://www.profession.hu/allas/informatikus-it-szakember-intretech-hungary-kft-kapuvar-2145583?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
12,IT Business Analyst,Budapest,Deloitte Zrt.,https://www.profession.hu/allas/it-business-analyst-deloitte-zrt-2145607?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
13,Software Tester,Budapest,Deloitte Zrt.,https://www.profession.hu/allas/software-tester-deloitte-zrt-2145550?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
14,Költségvetési tanácsadó,"1119 Budapest, Petzvál József utca 23/A.",VFT Vezetési Tanácsadó és Informatikai Zrt.,https://www.profession.hu/allas/koltsegvetesi-tanacsado-vft-vezetesi-tanacsado-es-informatikai-zrt-budapest-2145582?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
15,Network security architect,Budapest X. kerület,Invitech ICT Services Kft.,https://www.profession.hu/allas/network-security-architect-invitech-ict-services-kft-budapest-2145478/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
16,IT Infrastructure Specialist,"2071 Páty, Szent József út 4.",Kühne + Nagel Kft.,https://www.profession.hu/allas/it-infrastructure-specialist-kuhne-nagel-kft-paty-2141239/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
17,Digitalization Teamleader,Veszprém,Valeo Auto-Electric Magyarország Kft.,https://www.profession.hu/allas/digitalization-teamleader-valeo-auto-electric-magyarorszag-kft-veszprem-2145482?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
18,Site Cybersecurity Officer,Veszprém,Valeo Auto-Electric Magyarország Kft.,https://www.profession.hu/allas/site-cybersecurity-officer-valeo-auto-electric-magyarorszag-kft-veszprem-2145484?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
19,Product Owner,Budapest III. kerület Montevideó utca 9.,Central Médiacsoport Zrt.,https://www.profession.hu/allas/product-owner-central-mediacsoport-zrt-budapest-2144886?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
20,Demand Management Specialist – Senior,"1087 Budapest, Hungária körút 40-44.",_VOIS,https://www.profession.hu/allas/demand-management-specialist-senior-vois-budapest-2144487/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
21,Italian speaking Sales Data Management Specialist,"1087 Budapest, Hungária körút 40-44",_VOIS,https://www.profession.hu/allas/italian-speaking-sales-data-management-specialist-vois-budapest-2144480/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
22,German speaking Demand Management Specialist (IT Project Coordinator - Business Analyst),"1087 Budapest, Hungária körút 40-44.",_VOIS,https://www.profession.hu/allas/german-speaking-demand-management-specialist-it-project-coordinator-business-analyst-vois-budapest-2144459/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
23,Strategic Operations Programmes Lead,"1087 Budapest, Hungária körút 40-44",_VOIS,https://www.profession.hu/allas/strategic-operations-programmes-lead-vois-budapest-2144446/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
24,IT feldolgozási munkatárs,Budapest,Szerencsejáték Zrt.,https://www.profession.hu/allas/it-feldolgozasi-munkatars-szerencsejatek-zrt-2144672?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
25,DUTCH Speaking Service Desk Representative,"Budapest, Pest megye",Cognizant Technology Solutions Hungary Kft.,https://www.profession.hu/allas/dutch-speaking-service-desk-representative-cognizant-technology-solutions-hungary-kft-2144179/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
26,Technical Analyst (Core Solutions terület),"Pécs, Budapest, Győr",E.ON Digital Technology Hungary Kft.,https://www.profession.hu/allas/technical-analyst-core-solutions-terulet-e-on-digital-technology-hungary-kft-2130202?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
27,Számítástechnikai technikus,"1106 Budapest, Fehér út 10.",COBRA CONTROL KFT.,https://www.profession.hu/allas/szamitastechnikai-technikus-cobra-control-kft-budapest-2146043?sessionId=2a9db4b04157708eff0a09e84daab928,2023-04-17
