ID,Main,Location,Corporation,Href,Date
0,IT Design Expert - Decentral Ordering (w/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Design-Expert-Decentral-Ordering-w-m-x-Munchen-BMW-Group--9383253-inline.html,2023-03-29
1,IT System Engineer (f/m/d),München,Travian Games GmbH,https://www.stepstone.de/jobs--IT-System-Engineer-f-m-d-Munchen-Travian-Games-GmbH--9378220-inline.html,2023-03-29
2,IT Architect Dealer Frontends (f/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Architect-Dealer-Frontends-f-m-x-Munchen-BMW-Group--8811282-inline.html,2023-03-29
3,(Senior) Production IT Engineer*,Mainz,SCHOTT Pharma AG & Co. KGaA,https://www.stepstone.de/jobs--Senior-Production-IT-Engineer-Mainz-SCHOTT-Pharma-AG-Co-KGaA--9378598-inline.html,2023-03-29
4,IT system engineer (m/w/d),"Ratingen, Emmering",TOI TOI & DIXI Group GmbH,https://www.stepstone.de/jobs--IT-system-engineer-m-w-d-Ratingen-Emmering-TOI-TOI-DIXI-Group-GmbH--9134347-inline.html,2023-03-29
5,IT Workplace Service Manager (m/f/d),München,MSD Sharp & Dohme GmbH,https://www.stepstone.de/jobs--IT-Workplace-Service-Manager-m-f-d-Munchen-MSD-Sharp-Dohme-GmbH--9378248-inline.html,2023-03-29
6,IT Security Engineer (d/m/f),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Security-Engineer-d-m-f-Manching-bei-Munchen-Airbus-Group--8952800-inline.html,2023-03-29
7,IT Infrastructure Manager (d/f/m),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-d-f-m-Manching-bei-Munchen-Airbus-Group--9202705-inline.html,2023-03-29
8,IT Security Engineer (f/m/x),Berlin,ING Deutschland,https://www.stepstone.de/jobs--IT-Security-Engineer-f-m-x-Berlin-ING-Deutschland--9375974-inline.html,2023-03-29
9,IT Systemadministrator (m/w/d) Microsoft Exchange,Hanau,Heraeus Consulting & IT Solutions GmbH,https://www.stepstone.de/jobs--IT-Systemadministrator-m-w-d-Microsoft-Exchange-Hanau-Heraeus-Consulting-IT-Solutions-GmbH--9319386-inline.html,2023-03-29
10,Senior IT System Engineer / Senior Data Center Specialist (m/f/d),München,TSCNET Services GmbH,https://www.stepstone.de/jobs--Senior-IT-System-Engineer-Senior-Data-Center-Specialist-m-f-d-Munchen-TSCNET-Services-GmbH--9316136-inline.html,2023-03-29
11,IT-Engineer in Output Management (f/m/div.),Stuttgart,Bosch Gruppe,https://www.stepstone.de/jobs--IT-Engineer-in-Output-Management-f-m-div-Stuttgart-Bosch-Gruppe--8919527-inline.html,2023-03-29
12,IT Support Specialist (w/m/x),Haimhausen,Bavarian International School gAG,https://www.stepstone.de/jobs--IT-Support-Specialist-w-m-x-Haimhausen-Bavarian-International-School-gAG--9312991-inline.html,2023-03-29
13,IT Engineer (f/m/d),Düsseldorf,Tianma Europe GmbH,https://www.stepstone.de/jobs--IT-Engineer-f-m-d-Dusseldorf-Tianma-Europe-GmbH--8803382-inline.html,2023-03-29
14,IT Engineer (m/f/d),Darmstadt,AB Enzymes GmbH,https://www.stepstone.de/jobs--IT-Engineer-m-f-d-Darmstadt-AB-Enzymes-GmbH--9295640-inline.html,2023-03-29
15,IT System Engineer (m/f/d),Bad Nauheim,Simpson Strong-Tie GmbH,https://www.stepstone.de/jobs--IT-System-Engineer-m-f-d-Bad-Nauheim-Simpson-Strong-Tie-GmbH--9330655-inline.html,2023-03-29
16,IT-Cloud & Network Engineer (m/f/d),Düsseldorf,SMS digital GmbH,https://www.stepstone.de/jobs--IT-Cloud-Network-Engineer-m-f-d-Dusseldorf-SMS-digital-GmbH--9368437-inline.html,2023-03-29
17,Junior IT-Administrator (m/f/d),Hamburg,About You SE & Co. KG,https://www.stepstone.de/jobs--Junior-IT-Administrator-m-f-d-Hamburg-About-You-SE-Co-KG--9250746-inline.html,2023-03-29
18,IT Service Desk Manager (m/w/d),Hamburg,GATX Rail Germany GmbH,https://www.stepstone.de/jobs--IT-Service-Desk-Manager-m-w-d-Hamburg-GATX-Rail-Germany-GmbH--9311345-inline.html,2023-03-29
19,Junior IT Specialist - Digitalization and Innovation (f/m/d),Weinheim,Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Junior-IT-Specialist-Digitalization-and-Innovation-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9300329-inline.html,2023-03-29
20,Domain Lead Information Security Governance and IT Compliance (m/f/d),Essen,Brenntag SE,https://www.stepstone.de/jobs--Domain-Lead-Information-Security-Governance-and-IT-Compliance-m-f-d-Essen-Brenntag-SE--9294900-inline.html,2023-03-29
21,IT Project Manager (m/f/d) for Mobility Topics,München,Allianz Partners SAS Niederlassung Deutschland,https://www.stepstone.de/jobs--IT-Project-Manager-m-f-d-for-Mobility-Topics-Munchen-Allianz-Partners-SAS-Niederlassung-Deutschland--9380752-inline.html,2023-03-29
22,IT Security Officer (m/f/d),Stuttgart,Exyte Management GmbH,https://www.stepstone.de/jobs--IT-Security-Officer-m-f-d-Stuttgart-Exyte-Management-GmbH--8648656-inline.html,2023-03-29
23,Junior IT Specialist - Digitalization and Innovation (f/m/d),Weinheim,Freudenberg Home and Cleaning Solutions GmbH,https://www.stepstone.de/jobs--Junior-IT-Specialist-Digitalization-and-Innovation-f-m-d-Weinheim-Freudenberg-Home-and-Cleaning-Solutions-GmbH--9297143-inline.html,2023-03-29
24,IT Digital P&ID Specialist (all genders welcome),Dortmund,thyssenkrupp Industrial Solutions AG,https://www.stepstone.de/jobs--IT-Digital-PID-Specialist-all-genders-welcome-Dortmund-thyssenkrupp-Industrial-Solutions-AG--9329090-inline.html,2023-03-29
25,IT Design Expert - Decentral Ordering (w/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Design-Expert-Decentral-Ordering-w-m-x-Munchen-BMW-Group--9383253-inline.html,2023-03-29
26,IT System Engineer (f/m/d),München,Travian Games GmbH,https://www.stepstone.de/jobs--IT-System-Engineer-f-m-d-Munchen-Travian-Games-GmbH--9378220-inline.html,2023-03-29
27,IT Architect Dealer Frontends (f/m/x),München,BMW Group,https://www.stepstone.de/jobs--IT-Architect-Dealer-Frontends-f-m-x-Munchen-BMW-Group--8811282-inline.html,2023-03-29
28,(Senior) Production IT Engineer*,Mainz,SCHOTT Pharma AG & Co. KGaA,https://www.stepstone.de/jobs--Senior-Production-IT-Engineer-Mainz-SCHOTT-Pharma-AG-Co-KGaA--9378598-inline.html,2023-03-29
29,IT system engineer (m/w/d),"Ratingen, Emmering",TOI TOI & DIXI Group GmbH,https://www.stepstone.de/jobs--IT-system-engineer-m-w-d-Ratingen-Emmering-TOI-TOI-DIXI-Group-GmbH--9134347-inline.html,2023-03-29
30,IT Workplace Service Manager (m/f/d),München,MSD Sharp & Dohme GmbH,https://www.stepstone.de/jobs--IT-Workplace-Service-Manager-m-f-d-Munchen-MSD-Sharp-Dohme-GmbH--9378248-inline.html,2023-03-29
31,IT Security Engineer (d/m/f),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Security-Engineer-d-m-f-Manching-bei-Munchen-Airbus-Group--8952800-inline.html,2023-03-29
32,IT Infrastructure Manager (d/f/m),Manching bei München,Airbus Group,https://www.stepstone.de/jobs--IT-Infrastructure-Manager-d-f-m-Manching-bei-Munchen-Airbus-Group--9202705-inline.html,2023-03-29
33,IT Security Engineer (f/m/x),Berlin,ING Deutschland,https://www.stepstone.de/jobs--IT-Security-Engineer-f-m-x-Berlin-ING-Deutschland--9375974-inline.html,2023-03-29
34,IT Systemadministrator (m/w/d) Microsoft Exchange,Hanau,Heraeus Consulting & IT Solutions GmbH,https://www.stepstone.de/jobs--IT-Systemadministrator-m-w-d-Microsoft-Exchange-Hanau-Heraeus-Consulting-IT-Solutions-GmbH--9319386-inline.html,2023-03-29
35,Senior IT System Engineer / Senior Data Center Specialist (m/f/d),München,TSCNET Services GmbH,https://www.stepstone.de/jobs--Senior-IT-System-Engineer-Senior-Data-Center-Specialist-m-f-d-Munchen-TSCNET-Services-GmbH--9316136-inline.html,2023-03-29
36,IT-Engineer in Output Management (f/m/div.),Stuttgart,Bosch Gruppe,https://www.stepstone.de/jobs--IT-Engineer-in-Output-Management-f-m-div-Stuttgart-Bosch-Gruppe--8919527-inline.html,2023-03-29
37,IT Support Specialist (w/m/x),Haimhausen,Bavarian International School gAG,https://www.stepstone.de/jobs--IT-Support-Specialist-w-m-x-Haimhausen-Bavarian-International-School-gAG--9312991-inline.html,2023-03-29
38,IT Engineer (f/m/d),Düsseldorf,Tianma Europe GmbH,https://www.stepstone.de/jobs--IT-Engineer-f-m-d-Dusseldorf-Tianma-Europe-GmbH--8803382-inline.html,2023-03-29
39,IT Engineer (m/f/d),Darmstadt,AB Enzymes GmbH,https://www.stepstone.de/jobs--IT-Engineer-m-f-d-Darmstadt-AB-Enzymes-GmbH--9295640-inline.html,2023-03-29
40,IT System Engineer (m/f/d),Bad Nauheim,Simpson Strong-Tie GmbH,https://www.stepstone.de/jobs--IT-System-Engineer-m-f-d-Bad-Nauheim-Simpson-Strong-Tie-GmbH--9330655-inline.html,2023-03-29
41,IT-Cloud & Network Engineer (m/f/d),Düsseldorf,SMS digital GmbH,https://www.stepstone.de/jobs--IT-Cloud-Network-Engineer-m-f-d-Dusseldorf-SMS-digital-GmbH--9368437-inline.html,2023-03-29
42,Junior IT-Administrator (m/f/d),Hamburg,About You SE & Co. KG,https://www.stepstone.de/jobs--Junior-IT-Administrator-m-f-d-Hamburg-About-You-SE-Co-KG--9250746-inline.html,2023-03-29
