ID,Main,Location,Corporation,Salary,Href,Date
0,"Java/Kotlin Developer (remote, Bratislava/ Košice)",Práca z domu,"ARTIN Solutions, s.r.o.",1 800 EUR/mesiac,/praca/artin-solutions/O4525862,2023-04-17
1,Business Analyst (Bratislava or 90% remote),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","ARTIN Solutions, s.r.o.",2 200 EUR/mesiac,/praca/artin-solutions/O4516557,2023-04-17
2,ABAP developer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Unlimit Recruitment, s.r.o.",2 200 - 3 000 EUR/mesiac,/praca/unlimit-recruitment/O4558707,2023-04-17
3,Backend programátor,"Univerzitná 8661/6a, Žilina","Asseco CEIT, a.s.",2 000 - 4 000 EUR/mesiac,/praca/asseco-ceit/O4528383,2023-04-17
4,Internship - Application Engineer,"Marianka, Slovensko (Pozícia umožňuje občasnú prácu z domu)",XIMEA s.r.o.,8 EUR/hod.,/praca/ximea/O4317691,2023-04-17
5,Front-End Development Team Lead,"Bratislava, Slovakia (Job with occasional home office)",Frinx s.r.o.,2 500 - 4 000 EUR/mesiac,/praca/frinx/O4538229,2023-04-17
6,Elektrokonštruktér (Vývoj a výroba elektronických testovacích zariadení) ,"Bytča, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,1 700 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4539689,2023-04-17
7,ABAP Developer,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,2 900 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4559475,2023-04-17
8,PHP developer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Unlimit Recruitment, s.r.o.",2 000 - 3 000 EUR/mesiac,/praca/unlimit-recruitment/O4538381,2023-04-17
9,C/C++ Developer ,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Scheidt & Bachmann Slovensko s.r.o.,2 600 EUR/mesiac,/praca/scheidt-bachmann-slovensko/O4559474,2023-04-17
10,ABAP Developer,Remote work,"Unlimit Recruitment, s.r.o.",3 000 - 5 000 EUR/mesiac,/praca/unlimit-recruitment/O4309850,2023-04-17
11,PHP programátor/ka,"Kutlíkova, Petržalka, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)",Mestská časť Bratislava-Petržalka,1 600 EUR/mesiac,/praca/mestska-cast-bratislava-petrzalka/O4537925,2023-04-17
12,JAVA Programátor,"Poštová, Žilina-Vlčince, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Descartes Systems (Slovakia) s.r.o.,2 100 EUR/mesiac,/praca/descartes-systems-slovakia/O4559431,2023-04-17
13,Java Developer,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",dataquest s.r.o.,1 600 - 3 500 EUR/mesiac,/praca/dataquest/O4559224,2023-04-17
14,Senior Software Developer for Software Defined Network Controller,Remote work,FREQUENTIS Solutions & Services s. r. o.,2 900 EUR/mesiac,/praca/frequentis-solutions-services/O4242331,2023-04-17
15,Pozitívne nabitý Senior Java Developer ,Práca z domu,CODERAMA s. r. o.,3 000 - 6 000 EUR/mesiac,/praca/coderama/O4469805,2023-04-17
