ID,Main,Location,Corporation,Salary,Href,Date
0,Vývojár  mobilných aplikácií (Android & iOS) - TPP/freelance &  remote,Bratislava,Grafton Slovakia s.r.o.,2 300 - 3 300 EUR/mesiac,/praca/grafton-slovakia/O4543180,2023-03-21
1,Medior/Senior Java Developer,"Karloveská 34, Karlova Ves","Plaut Slovensko, s.r.o.",3 200 EUR/mesiac,/praca/plaut-slovensko/O4485029,2023-03-21
2,Senior Java Software Engineer (m/f/d),Remote work,Semantic Web Company,2 800 EUR/mesiac,/praca/semantic-web-company/O4543153,2023-03-21
3,React Native Developer (Medior),Práca z domu,localhost s.r.o.,3 200 EUR/mesiac,/praca/localhost/O4523855,2023-03-21
4,CRM Developer (Microsoft Dynamics),"Bratislava, Slovak Republic (Job with occasional home office)",S&you by SYNERGIE,1 800 EUR/mesiac,/praca/s-you-by-synergie/O4543130,2023-03-21
5,.NET Developer,Práca z domu,Kodiva s. r. o.,2 000 - 4 500 EUR/mesiac,/praca/kodiva/O4543119,2023-03-21
6,Angular Developer,Práca z domu,Kodiva s. r. o.,2 300 EUR/mesiac,/praca/kodiva/O4543118,2023-03-21
7,JavaScript programátor,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",BOOTIQ SK s.r.o.,3 500 EUR/mesiac,/praca/bootiq-sk/O4109036,2023-03-21
8,Frontend Developer  (E-commerce),"Ľudovíta Stárka 2870, Trenčín-Zlatovce, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Factcool - FC ecom, s.r.o.",2 000 EUR/mesiac,/praca/factcool-fc-ecom/O4543072,2023-03-21
9,Python Developer for Telematics,"Sygic, Mlynské nivy, Bratislava, Slovensko (Job with occasional home office)","Sygic, a. s.",2 800 - 4 300 EUR/mesiac,/praca/sygic/O4154737,2023-03-21
10,"Senior IT Inžinier/ka (PL/SQL, interné predajné aplikácie)",Bratislava,"Orange Slovensko, a.s.",2 000 - 3 000 EUR/mesiac,/praca/orange-slovensko/O4542941,2023-03-21
11,"IT Inžinier/ka (PL/SQL, interné predajné aplikácie)",Bratislava,"Orange Slovensko, a.s.",3 000 - 4 000 EUR/mesiac,/praca/orange-slovensko/O4542940,2023-03-21
12,"InterNET, Claude MoNET, Microsoft .NET","Prievozská 14, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","DIMANO, a. s.",2 300 EUR/mesiac,/praca/dimano/O3292094,2023-03-21
13,C#/.NET Programátor Medior/Senior,"Elektrárenská, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Datapac s.r.o.,2 600 EUR/mesiac,/praca/datapac/O4542916,2023-03-21
14,Python/DevOps TechLead,Práca z domu,Pro HR,2 000 - 3 000 EUR/mesiac,/praca/pro-hr/O3989481,2023-03-21
15,Senior Full Stack Developer,"Bratislava region, Slovak Republic","SOITRON, s.r.o.",1 300 - 2 000 EUR/mesiac,/praca/soitron/O4542810,2023-03-21
16,DevOps Developer (Kubernetes),"Bratislava region, Slovak Republic","SOITRON, s.r.o.",1 100 EUR/mesiac,/praca/soitron/O4542807,2023-03-21
17,Frontend Developer,"Bánovská cesta, Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)","EMTEST, a. s.",1 800 EUR/mesiac,/praca/emtest/O4542789,2023-03-21
18,Hľadáme PHP Programátora,Práca z domu,Art4web (digital studio),3 500 - 6 500 EUR/mesiac,/praca/art4web-digital-studio/O4542696,2023-03-21
19,Programátor  C++ ,"Bánovská cesta, Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)","EMTEST, a. s.",1 255 - 1 800 EUR/mesiac,/praca/emtest/O4456459,2023-03-21
20,Vývojár  mobilných aplikácií (Android & iOS) - TPP/freelance &  remote,Bratislava,Grafton Slovakia s.r.o.,2 100 EUR/mesiac,/praca/grafton-slovakia/O4543180,2023-03-21
21,Medior/Senior Java Developer,"Karloveská 34, Karlova Ves","Plaut Slovensko, s.r.o.",2 200 EUR/mesiac,/praca/plaut-slovensko/O4485029,2023-03-21
22,Senior Java Software Engineer (m/f/d),Remote work,Semantic Web Company,2 000 - 3 500 EUR/mesiac,/praca/semantic-web-company/O4543153,2023-03-21
23,React Native Developer (Medior),Práca z domu,localhost s.r.o.,2 000 - 3 500 EUR/mesiac,/praca/localhost/O4523855,2023-03-21
