ID,Main,Location,Corporation,Salary,Href,Date
380,Aktuár/Poistný matematik - IT vývoj - Home Office/Office,Práca z domu,msg life Slovakia s.r.o.,1 800 EUR/mesiac,/praca/msg-life-slovakia/O4171025,2023-04-07
381,Vývojár backend and frontend systémov,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",ESMO s. r. o.,30 EUR/hod.,/praca/esmo/O4508951,2023-04-07
382,Java frontend vývojar/ka (kontrakt),Práca z domu,21 Loopings GmbH,1 600 EUR/mesiac,/praca/21-loopings-gmbh/O4436802,2023-04-07
383,DWH/BI SW Engineer Junior,"Pribinova 19, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Atos IT Solutions and Services s.r.o.,1 800 EUR/mesiac,/praca/atos-it-solutions-and-services/O4546074,2023-04-07
384,C#  Programátor,Považská Bystrica,SEOYON E-HWA AUTOMOTIVE SLOVAKIA s.r.o.,9 - 18 EUR/hod.,/praca/seoyon-e-hwa-automotive-slovakia/O3668702,2023-04-07
385,PHP web developer v ASData.sk,"Tvorba web stránok, e-shopov - ASData group, s.r.o., Štúrova, Nitra, Slovensko (Pozícia umožňuje občasnú prácu z domu)","ASData group, s.r.o.",2 000 EUR/mesiac,/praca/asdata-group/O3526357,2023-04-07
386,Front-End Application Developer + 1000 eur brutto Sign on Bonus (REF280Q),"Košice, Slovakia (Job with occasional home office)",Deutsche Telekom IT Solutions Slovakia,2 500 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4527584,2023-04-07
387,Senior Database Programmer,"Košice, Slovakia (Job with occasional home office)",Deutsche Telekom IT Solutions Slovakia,2 180 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4527575,2023-04-07
388,Software-developer/PLC programátor,"MANZ Slovakia, s.r.o., Rybárska, Nové Mesto nad Váhom",Manz Slovakia s.r.o.,1 600 EUR/mesiac,/praca/manz-slovakia/O4241861,2023-04-07
389,"Softvérový vývojar pre oblasť rádiových systémov (Python, C++)",Žilina,Siemens Slovensko,2 100 EUR/mesiac,/praca/siemens-slovensko/O4378606,2023-04-07
390,PHP/Angular developer (eCommerce project),Košice,Siemens Slovensko,2 200 - 4 000 EUR/mesiac,/praca/siemens-slovensko/O4382460,2023-04-07
391,Experienced .NET/C# Developer,"Bratislava, Slovakia (Job with occasional home office)",IBM,1 662 EUR/mesiac,/praca/ibm/O4062182,2023-04-07
392,Robot Operator,Nitra,Jaguar Land Rover,Zabezpečené,/praca/jaguar-land-rover/O3470658,2023-04-07
393,Poď s nami robiť frontend našej novej videoplatformy,"Bottova, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Seznam.cz Slovensko, s.r.o.",3 000 - 4 000 EUR/mesiac,/praca/seznam-cz-slovensko/O4545945,2023-04-07
394,Poď s nami robiť backend našej novej videoplatformy,"Bottova, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Seznam.cz Slovensko, s.r.o.",2 500 - 4 000 EUR/mesiac,/praca/seznam-cz-slovensko/O4545944,2023-04-07
395,Java Developer pre Digital IT (m/ž),"Bajkalská 28, Ružinov, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)","Slovak Telekom, a.s.",2 000 - 4 800 EUR/mesiac,/praca/slovak-telekom/O4545933,2023-04-07
396,Senior PLC programátor - Automatizačný inžinier (bez cestovania!),Trnava,Lugera & Maklér spol.s r.o.,2 300 EUR/mesiac,/praca/lugera-makler/O4545804,2023-04-07
397,Node.js Backend Developer  (Remote),Práca z domu,"ACEQES, s.r.o.",Zabezpečené,/praca/aceqes/O4545756,2023-04-07
398,PHP Developer (Full Remote),Práca z domu,"ACEQES, s.r.o.",10 - 35 EUR/hod.,/praca/aceqes/O4341752,2023-04-07
399,Low-code programmer trainee,"Zvolen, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Continental AG,10 - 25 EUR/hod.,/praca/continental-ag/O4545727,2023-04-07
400,PHP Developer/ka,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",MODIS s. r. o.,5 - 6 EUR/hod.,/praca/modis/O4545707,2023-04-07
401,Senior Software Developer SD-WAN,"Košice, Slovakia (Job with occasional home office)",Deutsche Telekom IT Solutions Slovakia,3 000 - 6 000 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4545672,2023-04-07
402,Programátor,"Banská Bystrica, Slovensko (Pozícia umožňuje občasnú prácu z domu)",NordERP a.s.,3 100 EUR/mesiac,/praca/norderp/O4544637,2023-04-07
403,Java Developer [Ref:1092],Práca z domu,"APM Digital Solutions, s.r.o.",2 000 EUR/mesiac,/praca/apm-digital-solutions/O4545655,2023-04-07
404,Software Engineer COBOL/RPG,Bratislava,"Manuvia, a. s.",3 200 - 3 600 EUR/mesiac,/praca/manuvia/O4545653,2023-04-07
405,Software Engineer IIB/XML,Bratislava,"Manuvia, a. s.",2 800 - 3 000 EUR/mesiac,/praca/manuvia/O4545652,2023-04-07
406,Automatizovaný tester/vývojár testov,Práca z domu,Pro HR,2 800 - 3 000 EUR/mesiac,/praca/pro-hr/O4545648,2023-04-07
407,"Developer PLSQL, SQL","Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Pro HR,3 000 EUR/mesiac,/praca/pro-hr/O4545644,2023-04-07
408,C/C++ Engineer,"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Pro HR,2 100 EUR/mesiac,/praca/pro-hr/O4545634,2023-04-07
409,React Developer [Ref:1091],Práca z domu,"APM Digital Solutions, s.r.o.",2 500 EUR/mesiac,/praca/apm-digital-solutions/O4545631,2023-04-07
410, IT Application Developer PLSQL INTERN,"Bratislava, Slovakia (Job with occasional home office)","SIA Central Europe, a.s.",3 200 - 3 600 EUR/mesiac,/praca/sia-central-europe/O4545598,2023-04-07
411,Test Automation Developer - Letectvo (Greenfield project),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Indra Avitech s.r.o.,7 EUR/hod.,/praca/indra-avitech/O4531583,2023-04-07
412,SAP PP specialist / developer,Práca z domu,DEKRA kvalifikácia a poradenstvo s.r.o.,1 700 - 2 500 EUR/mesiac,/praca/dekra-kvalifikacia-a-poradenstvo/O4545517,2023-04-07
413,Programátor ,"Einsteinova 25, Petržalka","Privatbanka, a.s.",3 000 EUR/mesiac,/praca/privatbanka/O4545498,2023-04-07
414,C Trainee (Linux/Networking),Remote work,GlobalLogic Slovakia s.r.o.,2 400 EUR/mesiac,/praca/globallogic-slovakia/O4542610,2023-04-07
415,AI/ML Developer (Senior),Remote work,Pro HR,1 100 EUR/mesiac,/praca/pro-hr/O3991894,2023-04-07
416,IT Consultant (BI/Analytics/Data Automation),"Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Pro HR,3 000 EUR/mesiac,/praca/pro-hr/O4545338,2023-04-07
417,"Práca pre študentov VŠ na oddeleniach: informatika, HR, ekonomika, administratíva. Tranzit. autobus z KE zabezpečený.",Kechnec,"ADECCO Slovakia, s. r. o.",3 800 - 6 000 EUR/mesiac,/praca/adecco-slovakia/O4545324,2023-04-07
418,FPGA/VHDL developer (US company),"Stará Vajnorská 27, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Universal Instruments s. r. o.,"4,8 - 5,5 EUR/hod.",/praca/universal-instruments/O4509201,2023-04-07
419,PCB/ ICT Test & automation engineer - nová SMT výroba,"Kuštova 2596, Rakovník II, Rakovník, Česko",Valeo,1 400 - 3 500 EUR/mesiac,/praca/valeo/O4545229,2023-04-07
420,"Software Developer Python, Bash, Tcl - Multiple positions","Bratislava, Slovakia (Job with occasional home office)","Nokia Slovakia, a.s.",2 090 EUR/mesiac,/praca/nokia-slovakia/O2557190,2023-04-07
421,"Software Developer C/C++, Python - Multiple positions","Bratislava, Slovakia (Job with occasional home office)","Nokia Slovakia, a.s.",2 000 EUR/mesiac,/praca/nokia-slovakia/O2558801,2023-04-07
422,PHP Developer (E-commerce),"Ľudovíta Stárka 2870, Trenčín-Zlatovce, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Factcool - FC ecom, s.r.o.",2 000 EUR/mesiac,/praca/factcool-fc-ecom/O4545184,2023-04-07
423,Senior IT specialist (40-50.000 kč),"Chomutov, Česko","Advantage Consulting, s.r.o.",2 000 - 3 300 EUR/mesiac,/praca/advantage-consulting/O4453018,2023-04-07
424,Programátor/programátorka Senior pre oblasť Integrácií,"Mlynské nivy, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Všeobecná úverová banka, a.s., Intesa Sanpaolo",None,/praca/vseobecna-uverova-banka-intesa-sanpaolo/O4545057,2023-04-07
425,Java developer for Smart Buildings,"Bratislava, Slovak Republic","ADECCO Slovakia, s. r. o.",2 800 EUR/mesiac,/praca/adecco-slovakia/O4545004,2023-04-07
426,Programátor IS KARAT,"Boženy Němcovej 310/11, Nitra, Slovensko (Pozícia umožňuje občasnú prácu z domu)",KARAT Software a.s.,1 600 EUR/mesiac,/praca/karat-software/O4545001,2023-04-07
427,Java programátor MigArchiv,Práca z domu,"ADECCO Slovakia, s. r. o.",1 000 EUR/mesiac,/praca/adecco-slovakia/O4545000,2023-04-07
428,SAP FI/CO consultant,Remote work,"ADECCO Slovakia, s. r. o.",2 000 EUR/mesiac,/praca/adecco-slovakia/O4544999,2023-04-07
429,Programátor priemyslených robotov (ABB),Okres Žarnovica,"GETBID, s. r. o.",3 000 EUR/mesiac,/praca/getbid/O4544995,2023-04-07
430,Data Scientist with MLOps or DevOps experience ,"Tomášikova 64, Bratislava, Slovakia (Job with occasional home office)","Innovatrics, s.r.o.",1 800 EUR/mesiac,/praca/innovatrics/O4525976,2023-04-07
431,Angular/Java samostatná full remote práce,Práce z domu,radixal s.r.o.,3 000 EUR/mesiac,/praca/radixal/O4544991,2023-04-07
432,Programátor IS KARAT,"KARAT Software, Dvořákova 2881, 750 02 Přerov, Česko",KARAT Software a.s.,None,/praca/karat-software/O4153357,2023-04-07
433,Marketing automation specialist / CX consultant,"Apollo Business Centre, Prievozská, Ružinov",Dataconcept s.r.o.,None,/praca/dataconcept/O4525436,2023-04-07
434,Softvérový inžinier (jazyk C) + náborový bonus do výšky 2000€,"Dubnica nad Váhom, Slovensko (Pozícia umožňuje občasnú prácu z domu)","Bel Power Solutions, s.r.o.",2 200 EUR/mesiac,/praca/bel-power-solutions/O4544948,2023-04-07
435,Integration Developer,Remote work,"UNIQA Group Service Center Slovakia, spol. s r.o.",2 000 EUR/mesiac,/praca/uniqa-group-service-center-slovakia/O4506540,2023-04-07
436,Data Scientist,040 11 Košice,Deutsche Telekom IT Solutions Slovakia,2 000 EUR/mesiac,/praca/deutsche-telekom-it-solutions-slovakia/O4509103,2023-04-07
437,C# Senior Software Developer for Point of Care Diagnostics,"Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,2 000 EUR/mesiac,/praca/siemens-slovensko/O4357660,2023-04-07
438,Test automation engineer for Embedded C/C++ Software,"Lamačská cesta, 841 01 Bratislava, Slovakia (Job with occasional home office)",Siemens Slovensko,2 700 EUR/mesiac,/praca/siemens-slovensko/O4216056,2023-04-07
439,"Web Developer (HTML, React, VUE.js, C#)",Trnava,EMIS s.r.o.,1 900 EUR/mesiac,/praca/emis/O4525550,2023-04-07
440,Brigáda vo WocaBee pre programátora PHP/MySQL,"Karloveská 6C, Karlova Ves, Slovensko, Bratislava (Pozícia umožňuje občasnú prácu z domu)",WocaBee s. r. o.,1 600 - 2 200 EUR/mesiac,/praca/wocabee/O4544793,2023-04-07
441,JAVA Programátor,"Poštová, Žilina-Vlčince, Slovensko (Pozícia umožňuje občasnú prácu z domu)",Descartes Systems (Slovakia) s.r.o.,6 - 12 EUR/hod.,/praca/descartes-systems-slovakia/O4544712,2023-04-07
442,Remote React developer in the Renewable Energy Sector,"Jihomoravský kraj, Česká republika",ManpowerGroup s.r.o.,2 100 EUR/mesiac,/praca/manpowergroup/O4544737,2023-04-07
443,"Perl programátor na kontrakt, 415 až 480€/MD","Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)","TITANS freelancers, s.r.o.",None,/praca/titans-freelancers/O4544690,2023-04-07
444,"Senior Java programátor na kontrakt, 250 až 300€/MD",Práca z domu,"TITANS freelancers, s.r.o.",5 300 - 5 800 EUR/mesiac,/praca/titans-freelancers/O4544668,2023-04-07
445,"Aplikačný špecialista IT, oddelenie správy aplikačných služieb, odbor správy IS, sekcia informatiky",Banská Bystrica,Finančné riaditeľstvo SR,5 000 - 6 000 EUR/mesiac,/praca/financne-riaditelstvo-sr/O4544475,2023-04-07
446,Fullstack developer (Java/React),Práca z domu,MATERNA Information & Communications s.r.o.,1 800 EUR/mesiac,/praca/materna-information-communications/O4176552,2023-04-07
447,.NET Senior Developer,"Bratislava, Slovakia (Job with occasional home office)",EuroView s.r.o.,2 200 EUR/mesiac,/praca/euroview/O4051647,2023-04-07
448,Linux Embedded Device Specialist - Point of Care,"Bratislava region, Slovak Republic (Job with occasional home office)",Siemens Slovensko,3 000 - 5 000 EUR/mesiac,/praca/siemens-slovensko/O4544512,2023-04-07
449,Senior Software Developer in Test C++ (IRC178514),Remote work,GlobalLogic Slovakia s.r.o.,2 100 EUR/mesiac,/praca/globallogic-slovakia/O4544507,2023-04-07
450,Power BI Developer [Ref:1089],Práca z domu,"APM Digital Solutions, s.r.o.",2 800 EUR/mesiac,/praca/apm-digital-solutions/O4544498,2023-04-07
451,Power Automate Developer [Ref:1088],Práca z domu,"APM Digital Solutions, s.r.o.",4 100 - 5 200 EUR/mesiac,/praca/apm-digital-solutions/O4544404,2023-04-07
452,Java Developer do zdravotnictví,"Praha, Česko (Pozice umožňuje občasnou práci z domu)","Advantage Consulting, s.r.o.",4 100 - 5 200 EUR/mesiac,/praca/advantage-consulting/O4544343,2023-04-07
453,QlikView Developer,"Košice, Slovak Republic",Grafton Slovakia s.r.o.,None,/praca/grafton-slovakia/O4544342,2023-04-07
454,ICT architekt - API,Remote work,"ADECCO Slovakia, s. r. o.",2 000 - 2 600 EUR/mesiac,/praca/adecco-slovakia/O4544274,2023-04-07
455,Robotic programmer ,"Trenčianska Turná, 913 21 Trenčianska Turná, Slovakia (Job with occasional home office)",Valicare s.r.o.,2 050 EUR/mesiac,/praca/valicare/O4216348,2023-04-07
456,C++ Developer (senior),"Námestie Mateja Korvína, Bratislava, Slovakia (Job with occasional home office)",RPC,2 500 EUR/mesiac,/praca/rpc/O4525534,2023-04-07
457,IT & Business Analyst (Data Streaming),"Námestie Mateja Korvína, Bratislava, Slovakia (Job with occasional home office)",RPC,2 500 EUR/mesiac,/praca/rpc/O4525541,2023-04-07
458,IT copywriter pre oblasť JAVA programovanie,Práca z domu,msg life Slovakia s.r.o.,2 300 EUR/mesiac,/praca/msg-life-slovakia/O4525273,2023-04-07
459,IT Tester (Medior/Senior),"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)",CODERAMA s. r. o.,1 900 EUR/mesiac,/praca/coderama/O4533465,2023-04-07
