Word,Count
Csapatmunka,19000
angol,17301
home office,15719
tapasztalat,13995
sap,10452
design,7852
cloud,7850
senior,7134
java,6740
devops,6184
felsőfokú végzettség,8480
Kommunikáció,5524
JavaScript,3235
1-3 év tapasztalat,3174
gyakornok,3118
azure,3105
szoftverfejlesztő,3057
linux,2887
backend,2781
frontend,2749
