ID,Main,Location,Corporation,Href,Date
285,IT alkalmazás DevOps mérnök,"Budapest, XIII. kerület",Kormányzati Informatikai Fejlesztési Ügynökség,https://www.profession.hu/allas/it-alkalmazas-devops-mernok-kormanyzati-informatikai-fejlesztesi-ugynokseg-budapest-2116089?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
286,Helpdesk munkatárs,"1102 Budapest, Kőrösi Csoma Sándor út",BBOX Solutions Kft,https://www.profession.hu/allas/helpdesk-munkatars-bbox-solutions-kft-budapest-2122245?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
287,System Analyst,"1134 Budapest, Váci út 23.",Colonnade Insurance S.A. Magyarországi Fióktelepe,https://www.profession.hu/allas/system-analyst-colonnade-insurance-s-a-magyarorszagi-fioktelepe-budapest-2116105?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
288,IoT Backend Developer,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/iot-backend-developer-zf-hungaria-kft-2112099?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
289,Data and AI Solution Architect,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/data-and-ai-solution-architect-zf-hungaria-kft-2112120?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
290,Tech Lead / Architect Computer Vision Toolbox,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/tech-lead-architect-computer-vision-toolbox-zf-hungaria-kft-2112110?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
291,DevOps Engineer for API Management Platforms,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/devops-engineer-for-api-management-platforms-zf-hungaria-kft-2112146?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
292,Cloud Engineer for API Management Platforms,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/cloud-engineer-for-api-management-platforms-zf-hungaria-kft-2112130?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
293,Data Architect,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/data-architect-zf-hungaria-kft-2112159?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
294,Cloud Platform Engineer,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/cloud-platform-engineer-zf-hungaria-kft-2112149?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
295,Senior Application Developer,Országosan bárhonnan pályázható,ZF Hungária Kft.,https://www.profession.hu/allas/senior-application-developer-zf-hungaria-kft-2112166?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
296,Szoftverfejlesztő,2890 Tata,J & S SPEED Kft.,https://www.profession.hu/allas/szoftverfejleszto-j-amp-s-speed-kft-tata-2122194?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
297,Senior data engineer,"1095 Budapest, Lechner Ödön fasor 9. K. épül",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/senior-data-engineer-k-h-bank-zrt-ict-budapest-2112169?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
298,Intermediate/Senior Devops Engineer (JT),"Budapest, XI. district",Tech People Hungary Kft.,https://www.profession.hu/allas/intermediate-senior-devops-engineer-jt-tech-people-hungary-kft-budapest-2116051?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
299,Senior .NET fejlesztő,Budapest,VOXINFO KFT.,https://www.profession.hu/allas/senior-net-fejleszto-voxinfo-kft-2120194/pro?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
300,Rendszergazda,Budapest,Multi Alarm Zrt.,https://www.profession.hu/allas/rendszergazda-multi-alarm-zrt-2121393?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
301,IT rendszerszervező,Budapest V. kerület,ESZFK Nonprofit Kft.,https://www.profession.hu/allas/it-rendszerszervezo-eszfk-nonprofit-kft-budapest-2122095?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
302,SAP Application Developer,3527 Miskolc,Gramont Kft.,https://www.profession.hu/allas/sap-application-developer-gramont-kft-miskolc-2111008?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
303,DWDM hálózati mérnök,Országosan bárhonnan pályázható,DIGI Kft.,https://www.profession.hu/allas/dwdm-halozati-mernok-digi-kft-2114265?sessionId=2a9db4b04157708eff0a09e84daab928,2023-03-21
