Corporation,Main,Labels
WORKLIFE Hungary ,CÉLGÉPTERVEZŐ MÉRNÖK(bp523),"
      Rendszerüzemeltető    "
WORKLIFE Hungary ,PLC PROGRAMOZÓ(bp589),"
      Rendszerüzemeltető    "
HumanField Vezető- és Specialistakiválasztó Kft. ,SZOFTVER TÁMOGATÓ  (16-2047),"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,MEDIOR JAVA FEJLESZTŐ,"
      Rendszerüzemeltető    "
Man at Work Humánszolgáltató és Személyzeti Tanácsadó Kft. ,Informatikus / IT Officer - Polgárdi,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Service Designer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior C++ Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,C++ Software Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior Salesforce Expert,"
      Rendszerüzemeltető    "
VÉGH KÁLMÁN ANDRÁS Egyéni Vállalkozó , GYENGEÁRAMÚ HÁLÓZATTELEPITŐ KOLLÉGA,"
      Rendszerüzemeltető    "
HAYS Hungary Kft. ,"Java, Angular Developer","
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,BACKEND FEJLESZTŐ (C#),"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Server and Network Management team leader,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior License Management Analyst,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,SAP TANÁCSADÓ ÉS FEJLESZTŐ,"
      Rendszerüzemeltető    "
Hire-One Kft. ,Projektmérnök,"
      Rendszerüzemeltető    "
T-HR Kft. ,Informatikai Folyamatfejlesztési Mérnök - Tatabánya,"
      Rendszerüzemeltető    "
PBS International Kft. ,Frontend Developer - junior/medior/senior - (Flutter is an advantage/opportunity to learn Flutter),"
      Rendszerüzemeltető    "
MKB Bank Nyrt. ,HUMÁNELLENŐRZÉS FOLYMATI SZAKÉRTŐ,"
      Rendszerüzemeltető    "
Diehl Aviation ,          Kiemelt        Weight technician/Engineer (Debrecen),"
      Rendszerüzemeltető    "
MKB Bank Nyrt. ,FIÓKTÁMOGATÁS KÖZPONTI SENIOR BIZTONSÁGI FELELŐS,"
      Rendszerüzemeltető    "
MKB Bank Nyrt. ,FRAUD VIZSGÁLATI SZAKÉRTŐ,"
      Rendszerüzemeltető    "
MKB Bank Nyrt. ,FRAUD SZABÁLYZATI ÉS KOCKÁZATFELTÁRÁSI FOLYAMAT SZAKÉRTŐ,"
      Rendszerüzemeltető    "
MKB Bank Nyrt. ,FRAUD VIZSGÁLATI SZAKÉRTŐ,"
      Rendszerüzemeltető    "
Cvonline.hu ügyfél ,          Kiemelt        Épületgépész tervező mérnök,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Senior Red Team Operations & Penetration Testing,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,Software Architect,"
      Rendszerüzemeltető    "
Kite Zrt ,SAP bázis üzemeltető,"
      Rendszerüzemeltető    "
Vision Recruitment Kft. ,GERMAN SPEAKING SERVICE DESK AGENT,"
      Rendszerüzemeltető    "
Vision Recruitment Kft. ,FRENCH IT SERVICE DESK ANALYST,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,DEVOPS ENGINEER IoT CLOUD,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,BACKEND FEJLESZTŐ,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,FRONTEND FEJLESZTŐ,"
      Rendszerüzemeltető    "
BECK AND PARTNERS Kft. ,BEÁGYAZOTT C SZOFTVERFEJLESZTŐ,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Junior PLC Programozó,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Business Analyst,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Senior JAVA Fejlesztő,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,IT Tanácsadó,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Ingatlanpiaci Elemző,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Rendszerszervező,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Manuális Tesztelő,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Automata Szoftvertesztelő,"
      Rendszerüzemeltető    "
Nova Human Resources Kft. ,Frontend fejlesztő,"
      Rendszerüzemeltető    "
HumanField Vezető- és Specialistakiválasztó Kft. ,AUTOMATIZÁLÁSI MÉRNÖK (16-2015),"
      Rendszerüzemeltető    "
Mind-Diák Szövetkezet ,Tesztmenedzsment támogató gyakornok,"
      Rendszerüzemeltető    "
HSA Kft. ,Senior JAVA Developer,"
      Rendszerüzemeltető    "
HSA Kft. ,IT operation administrator,"
      Rendszerüzemeltető    "
HSA Kft. ,IT Operations Engineer ,"
      Rendszerüzemeltető    "
HSA Kft. ,ERP Developer,"
      Rendszerüzemeltető    "
Randstad Hungary Kft. ,SAP SD Consultant (remote/hybrid),"
      Rendszerüzemeltető    "
Work Force Kft. ,Rendszermérnök,"
      Rendszerüzemeltető    "
Work Force Kft. ,Tesztmérnök_N,"
      Rendszerüzemeltető    "
