Main,Location,Corporation,Href
Senior Project Manager (REF1450G),Budapest,Deutsche Telekom IT Solutions,/allas/senior_project_manager_ref1450g/PC-2441#adtype=dirCU
Experienced/Senior Data Engineer (REF1343L),Budapest,Deutsche Telekom IT Solutions,/allas/experiencedsenior_data_engineer_ref1343l/OH-5190#adtype=dirCU
AWS Data Architect - REF339V,Budapest,Deutsche Telekom IT Solutions,/allas/aws_data_architect_ref339v/RK-2748#adtype=dirCU
Szerver és hálózat rendszeradminisztrátor - Server and Network administrator,Budapest,Randstad Hungary Kft,/allas/szerver_es_halozat_rendszeradminisztrator_server_and_network_administrator/EN-7790#adtype=indCU
Azure Platform Engineer (REF62K),Budapest,Deutsche Telekom IT Solutions,/allas/azure_platform_engineer_ref62k/HA-8707#adtype=dirCU
Software Engineer on network field (REF223C),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_on_network_field_ref223c/FU-3899#adtype=dirCU
Service Now Developer (REF86R),Budapest,Deutsche Telekom IT Solutions,/allas/service_now_developer_ref86r/WB-9031#adtype=dirCU
Operations Manager EDI (REF513Z),Budapest,Deutsche Telekom IT Solutions,/allas/operations_manager_edi_ref513z/XQ-0736#adtype=dirCU
"HARDWARE MÉRNÖK - FEJLESZTÉS, GYÁRTÁSTÁMOGATÁS (Pályakezdők jelentkezését is várjuk!)",Veszprém,IMPC Personnel Hungária Kft.,/allas/hardware_mernok_fejlesztes_gyartastamogatas_palyakezdok_jelentkezeset_is_varjuk/ID-6617#adtype=indCU
Experienced Fullstack Developer (REF1022I),Budapest,Deutsche Telekom IT Solutions,/allas/experienced_fullstack_developer_ref1022i/RO-7878#adtype=dirCU
Software Engineer (Java/Microservices) (REF274B),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_javamicroservices_ref274b/DH-4297#adtype=dirCU
Azure Platform Engineer (REF62K),Budapest,Deutsche Telekom IT Solutions,/allas/azure_platform_engineer_ref62k/JE-2329#adtype=dirCU
Senior Network Architect (Open Telekom Cloud) - REF482J,Budapest,Deutsche Telekom IT Solutions,/allas/senior_network_architect_open_telekom_cloud_ref482j/ZM-2565#adtype=dirCU
Szoftverintegrációs mérnök (automatizáció),Budapest,Thyssenkrupp,/allas/szoftverintegracios_mernok_automatizacio/YB-4620#adtype=dirCU
Szoftver tesztautomatizáló mérnök (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok_veszprem/FR-4302#adtype=dirCU
Cloud Portal Developer (Microsoft Azure) (REF730S),Budapest,Deutsche Telekom IT Solutions,/allas/cloud_portal_developer_microsoft_azure_ref730s/RT-8375#adtype=dirCU
Németül beszélő Customer Service Specialist (REF1256T),Debrecen,Deutsche Telekom IT Solutions,/allas/nemetul_beszelo_customer_service_specialist_ref1256t/IY-6912#adtype=dirCU
Cloud Engineer (Azure),Budapest,Randstad Hungary Kft,/allas/cloud_engineer_azure/NE-6705#adtype=indCU
COGNOS expert (REF1469X),Budapest,Deutsche Telekom IT Solutions,/allas/cognos_expert_ref1469x/WI-2075#adtype=dirCU
"Microsoft Application Administrator - Skype for Business, Teams (REF974Y)",Budapest,Deutsche Telekom IT Solutions,/allas/microsoft_application_administrator_skype_for_business_teams_ref974y/CM-8422#adtype=dirCU
Application Administrator (Patch management) (REF1471N),Budapest,Deutsche Telekom IT Solutions,/allas/application_administrator_patch_management_ref1471n/US-0593#adtype=dirCU
SAP Consultant (PP),Magyarország,Randstad Hungary Kft,/allas/sap_consultant_pp/GT-2966#adtype=indCU
Technical Process Specialist - Networking field (REF1481Y),Debrecen,Deutsche Telekom IT Solutions,/allas/technical_process_specialist_networking_field_ref1481y/GN-9083#adtype=dirCU
Szoftverfejlesztési csapatvezető (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftverfejlesztesi_csapatvezeto_veszprem/CW-8519#adtype=dirCU
Rollout coordinator - automation - REF410H,Budapest,Deutsche Telekom IT Solutions,/allas/rollout_coordinator_automation_ref410h/DG-1412#adtype=dirCU
DevOps Engineer (VNI 1 NNA_ACC Squad) (REF220B),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_vni_1_nnaacc_squad_ref220b/QW-8639#adtype=dirCU
DevOps Engineer (REF215M),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_ref215m/BK-2511#adtype=dirCU
Operations Manager EDI (REF513Z),Budapest,Deutsche Telekom IT Solutions,/allas/operations_manager_edi_ref513z/EB-0348#adtype=dirCU
Frontend fejlesztő (REF731J),Budapest,Deutsche Telekom IT Solutions,/allas/frontend_fejleszto_ref731j/RM-3344#adtype=dirCU
Repl//MS Dynamics 365 Fejlesztő,Budapest,Deutsche Telekom IT Solutions,/allas/replms_dynamics_365_fejleszto/IP-9679#adtype=dirCU
Senior Engineer Security and Forensics (OTC) - REF761L,Budapest,Deutsche Telekom IT Solutions,/allas/senior_engineer_security_and_forensics_otc_ref761l/ZT-2338#adtype=dirCU
Technical Incident Manager (REF84R),Budapest,Deutsche Telekom IT Solutions,/allas/technical_incident_manager_ref84r/UO-7741#adtype=dirCU
Szoftverfejlesztő mérnök - beágyazott rendszerekhez (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftverfejleszto_mernok_beagyazott_rendszerekhez_veszprem/LW-8283#adtype=dirCU
Alkalmazás üzemeltető Java fejlesztői tapasztalattal (REF984T),Budapest,Deutsche Telekom IT Solutions,/allas/alkalmazas_uzemelteto_java_fejlesztoi_tapasztalattal_ref984t/TO-6825#adtype=dirCU
DevOps Engineer,Magyarország,Deutsche Telekom IT Solutions,/allas/devops_engineer/QM-6475#adtype=dirCU
Cloud Architect in Azure Engineering - REF477J,Budapest,Deutsche Telekom IT Solutions,/allas/cloud_architect_in_azure_engineering_ref477j/QF-8811#adtype=dirCU
Experienced Network Architect (REF245U),Budapest,Deutsche Telekom IT Solutions,/allas/experienced_network_architect_ref245u/UV-5681#adtype=dirCU
