ID,Main,Location,Corporation,Salary,Href,Date
124,SW Developer (.NET) (Ref. č.: 1-16-40140),Bratislava,Grafton Slovakia s.r.o., 2 400 EUR/mesiac,pracovna-ponuka/1129713/sw-developer-net-ref-c-1-16-40140-,2023-03-04
125,Systémový/DevOps inžinier (Ref. č.: 1-16-39808),Košice,Grafton Slovakia s.r.o., 2 700 EUR/mesiac,pracovna-ponuka/1120343/systemovy-devops-inzinier-ref-c-1-16-39808-,2023-03-04
126,SAP konzultant (Ref. č.: 2-15-41776),Prešov,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1323689/sap-konzultant-ref-c-2-15-41776-,2023-03-04
127,QA Automation Engineer (Ref. č.: 1-16-39103),Košice,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1096715/qa-automation-engineer-ref-c-1-16-39103-,2023-03-04
128,C#/.NET Programátor (aj živnosť/s.r.o.+ remote) (Ref. č.: 1-16-36102),Bratislava,Grafton Slovakia s.r.o., 2 300 EUR/mesiac,pracovna-ponuka/1078463/c-net-programator-aj-zivnost-s-r-o-remote-ref-c-1-16-36102-,2023-03-04
129,IT Security Manager (Ref. č.: 1-16-41564),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1317760/it-security-manager-ref-c-1-16-41564-,2023-03-04
130,SAP FI/CO SENIOR KONZULTANT (Ref. č.: 1-16-36074),Bratislava,Grafton Slovakia s.r.o., 2 600 EUR/mesiac,pracovna-ponuka/1147645/sap-fi-co-senior-konzultant-ref-c-1-16-36074-,2023-03-04
131,IT Tester (Ref. č.: 1-15-40556),Bratislava,Grafton Slovakia s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1147577/it-tester-ref-c-1-15-40556-,2023-03-04
132,Data analyst (banking sector) (Ref. č.: 1-15-41392),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1314236/data-analyst-banking-sector-ref-c-1-15-41392-,2023-03-04
133,SAP PM SENIOR KONZULTANT (Ref. č.: 1-16-36073),Bratislava,Grafton Slovakia s.r.o., 2 600 EUR/mesiac,pracovna-ponuka/1130175/sap-pm-senior-konzultant-ref-c-1-16-36073-,2023-03-04
134,Application Administrator (Ref. č.: 1-16-41096),Košice,Grafton Slovakia s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1302641/application-administrator-ref-c-1-16-41096-,2023-03-04
135,"Senior systémový & aplikačný administrator(Windows/Linux)- TPP, REMOTE (Ref. č.: 1-16-39789)",Nitra,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1138505/senior-systemovy-aplikacny-administrator-windows-linux-tpp-remote-ref-c-1-16-39789-,2023-03-04
136,Senior BE .NET/C# Developer s presahom na FE (Ref. č.: 1-16-39366),Košice,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1095091/senior-be-net-c-developer-s-presahom-na-fe-ref-c-1-16-39366-,2023-03-04
137,Špecialista GIS/AMS -plošný monitorovací systém,Bratislava,Pôdohospodárska platobná agentúra, 1 299 EUR/mesiac,pracovna-ponuka/1323891/specialista-gis-ams-plosny-monitorovaci-system,2023-03-04
138,MEST IT Junior (Ref. č.: 1-15-41554),Skalica,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1317084/mest-it-junior-ref-c-1-15-41554-,2023-03-04
139,QlikView Developer (Ref. č.: 1-16-41546),Košice,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1317082/qlikview-developer-ref-c-1-16-41546-,2023-03-04
140,Analytik IKT,"Okres Nitra, Nitra",Tata Consultancy Services Limited - organizačná zložka, 2 675 EUR/mesiac,pracovna-ponuka/1321659/analytik-ikt,2023-03-04
141,Databázový špecialista - migrácie (TPP/ živnosť a s možnosťou práce full remote) (Ref. č.: 1-16-41361),Bratislava,Grafton Slovakia s.r.o., 2 100 EUR/mesiac,pracovna-ponuka/1316924/databazovy-specialista-migracie-tpp-zivnost-a-s-moznostou-prace-full-remote-ref-c-1-16-41361-,2023-03-04
142,SAP master data administrator (Ref. č.: 131-15-41734),Skalica,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1322517/sap-master-data-administrator-ref-c-131-15-41734-,2023-03-04
143,Java developer - TPP/živnosť & REMOTE (Ref. č.: 1-16-41374),Bratislava,Grafton Slovakia s.r.o., 1 900 EUR/mesiac,pracovna-ponuka/1311803/java-developer-tpp-zivnost-remote-ref-c-1-16-41374-,2023-03-04
144,Laravel Developer (Fintech),Bratislava,"WORLD BUSINESS PRESS online, a.s.", 2 500 EUR/mesiac,pracovna-ponuka/1323323/laravel-developer-fintech-,2023-03-04
145,Software Architect .NET/SQL Server,Bratislava,PŘEDVÝBĚR.CZ s.r.o., 2 800 EUR/mesiac,pracovna-ponuka/1311241/software-architect-net-sql-server,2023-03-04
146,Spracovateľ študijných podkladov pre VŠ práce,"Práca z domu, Košický kraj, Bratislava, Trnava, Banská Bystrica, Košice, Prešov, Žilina, Nitra, Trenčín",Ellmer s.r.o.,0 EUR/h,pracovna-ponuka/1137553/spracovatel-studijnych-podkladov-pre-vs-prace,2023-03-04
147,Developer (Aplikačný programátor),Bratislava,"brainit.sk, s. r. o.", 1 650 EUR/mesiac,pracovna-ponuka/1144559/developer-aplikacny-programator-,2023-03-04
148,Aplikačný programátor - developer,"Okres Žilina, Žilina","brainit.sk, s. r. o.", 1 650 EUR/mesiac,pracovna-ponuka/1144337/aplikacny-programator-developer,2023-03-04
149,Omnichannel marketing automation technical consultant,Bratislava,Assisto Consulting SK s. r. o., 3 000 EUR/mesiac,pracovna-ponuka/1326807/omnichannel-marketing-automation-technical-consultant,2023-03-04
150,Software Test Engineer,Bratislava,HighChem s.r.o., 2 400 EUR/mesiac,pracovna-ponuka/1312265/software-test-engineer,2023-03-04
151,Lead Software Engineer,Košice,GlobalLogic Slovakia s.r.o., 3 500 EUR/mesiac,pracovna-ponuka/1306851/lead-software-engineer,2023-03-04
152,Junior Software Engineer - DevOps,Košice,GlobalLogic Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1306847/junior-software-engineer-devops,2023-03-04
153,Učiteľ/ka informatiky,"Okres Senica, Senica","Základná škola, Sekule 119", 1 161 EUR/mesiac,pracovna-ponuka/1326667/ucitel-ka-informatiky,2023-03-04
154,Programátor,Bratislava,"SLOVAKODATA, a.s.", 1 500 EUR/mesiac,pracovna-ponuka/1309361/programator,2023-03-04
155,Programátor CNC strojov,Trnava,"ELPOTECH, spol. s r.o.", 994 EUR/mesiac,pracovna-ponuka/1133143/programator-cnc-strojov,2023-03-04
156,Python backend programátor,Bratislava,Institute of Language Technology and Education, 3 000 EUR/mesiac,pracovna-ponuka/1312201/python-backend-programator,2023-03-04
