ID,Main,Location,Corporation,Href,Date
26,System engineer (TAM),Budapest,KBC Group Magyarországi Fióktelepe,https://www.profession.hu/allas/system-engineer-tam-kbc-group-magyarorszagi-fioktelepe-2114988/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
27,Linux rendszermérnök,Otthonról végezhető,KeP-ICT Solutions Kft.,https://www.profession.hu/allas/linux-rendszermernok-kep-ict-solutions-kft-2114772/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
28,Microsoft rendszermérnök,Otthonról végezhető,KeP-ICT Solutions Kft.,https://www.profession.hu/allas/microsoft-rendszermernok-kep-ict-solutions-kft-2114764/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
29,Senior informatikus,Budapest,CIVIL ITIM Zrt.,https://www.profession.hu/allas/senior-informatikus-civil-itim-zrt-2114639?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
30,Tesztelés-támogatás vezető,"1095 Budapest, Lechner Ödön fasor 9. K. épül",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/teszteles-tamogatas-vezeto-k-h-bank-zrt-ict-budapest-2114899?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
31,Teams rendszermérnök,Otthonról végezhető,KeP-ICT Solutions Kft.,https://www.profession.hu/allas/teams-rendszermernok-kep-ict-solutions-kft-2114759/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
32,Junior SEO-s,1094 Budapest,MOKEROPT Zrt.,https://www.profession.hu/allas/junior-seo-s-mokeropt-zrt-budapest-2113455/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
33,Szoftverfejlesztő,1064 Budapest,"HELP-EXPRESS, Fejlesztő Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",https://www.profession.hu/allas/szoftverfejleszto-help-express-fejleszto-kereskedelmi-es-szolgaltato-korlatolt-felelossegu-tarsasag-budapest-2113454/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
34,Senior IT Business Analyst,Budapest,Vantage Towers Zártkörűen Működő Részvénytársaság,https://www.profession.hu/allas/senior-it-business-analyst-vantage-towers-zartkoruen-mukodo-reszvenytarsasag-2102663/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
35,Czech or Slovak speaking Customer and Product System Support Associate,"1138 Budapest, Váci út 187.",TESCO-BST,https://www.profession.hu/allas/czech-or-slovak-speaking-customer-and-product-system-support-associate-tesco-bst-budapest-2111441?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
36,IT Rendszergazda,Kecskemét,Trenkwalder Kft.,https://www.profession.hu/allas/it-rendszergazda-trenkwalder-kft-kecskemet-2105950?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
37,Middle/Senior PHP Developer,"Bratislava, Slovakia",Mob Interier S.R.O.,https://www.profession.hu/allas/middle-senior-php-developer-mob-interier-s-r-o-2097564?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
38,Business Analyst,"1133 Budapest, Váci út 80.",Capital Systems Informatikai Kft.,https://www.profession.hu/allas/business-analyst-capital-systems-informatikai-kft-budapest-2101684?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
39,Projektasszisztens (vagyonkezelés),2600 Vác,Forum Digital Kft.,https://www.profession.hu/allas/projektasszisztens-vagyonkezeles-forum-digital-kft-vac-2104072/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
40,Backend Fejlesztő,Budapest V. kerület,Profession Services,https://www.profession.hu/allas/backend-fejleszto-profession-services-budapest-2105754/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
41,Diákmunka - IT Security gyakornok,Budapest XI. kerület,MŰISZ Szolgáltató Iskolaszövetkezet,https://www.profession.hu/allas/diakmunka-it-security-gyakornok-muisz-szolgaltato-iskolaszovetkezet-budapest-2105753?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
42,Backend- és Fullstack fejlesztő,Budapest,Human Priority Kft.,https://www.profession.hu/allas/backend-es-fullstack-fejleszto-human-priority-kft-2104687?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
43,System Operations Engineer,"1134 Budapest, Lőportár u. 20/b",Loxon Solutions Zrt.,https://www.profession.hu/allas/system-operations-engineer-loxon-solutions-zrt-budapest-2105327/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
44,PHP full stack fejlesztő,Otthonról végezhető,IPCamLive.com,https://www.profession.hu/allas/php-full-stack-fejleszto-ipcamlive-com-2104998/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
45,Java Fejlesztő,Budapest V. kerület,Profession Services,https://www.profession.hu/allas/java-fejleszto-profession-services-budapest-2112239/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
46,IT üzleti elemző (banki területre),"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/it-uzleti-elemzo-banki-teruletre-uniqa-raiffeisen-software-service-kft-budapest-2112870?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
47,"Full-Stack fejlesztő (Angular, Java)","1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/full-stack-fejleszto-angular-java-uniqa-raiffeisen-software-service-kft-budapest-2112871?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
48,It üzemeltetési architect,"1095 Budapest, Lechner Ödön fasor 9. K. épül",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/it-uzemeltetesi-architect-k-h-bank-zrt-ict-budapest-2112170/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
49,szenior Oracle adatbázis rendszergazda,"1095 Budapest, Lechner Ödön fasor 9. K. épület",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/szenior-oracle-adatbazis-rendszergazda-k-h-bank-zrt-ict-budapest-2112167/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
50,Adattárház üzemeltető rendszergazda,"1095 Budapest, Lechner Ödön fasor 9. K. épület",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/adattarhaz-uzemelteto-rendszergazda-k-h-bank-zrt-ict-budapest-2112168/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
51,IT Security Engineer,Országosan bárhonnan pályázható,Profession Services,https://www.profession.hu/allas/it-security-engineer-profession-services-2107893/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
52,Diákmunka - JUNIOR FULL-STACK FEJLESZTŐ,Budapest IX. kerület,MŰISZ Szolgáltató Iskolaszövetkezet,https://www.profession.hu/allas/diakmunka-junior-full-stack-fejleszto-muisz-szolgaltato-iskolaszovetkezet-budapest-2105451?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
53,Software Architect - Mobil alkalmazás fejlesztés,"1095 Budapest, Lechner Ödön fasor 9. K. épül",K&H Bank Zrt.,https://www.profession.hu/allas/software-architect-mobil-alkalmazas-fejlesztes-k-h-bank-zrt-budapest-2112058/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
54,IT Üzleti elemző,"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/it-uzleti-elemzo-uniqa-raiffeisen-software-service-kft-budapest-2104427?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
55,Senior adatmérnök / Java fejlesztő,"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/senior-adatmernok-java-fejleszto-uniqa-raiffeisen-software-service-kft-budapest-2104404?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
56,IT Security Analyst,"1053 Budapest, Szép utca 2.",UNIQA Raiffeisen Software Service Kft.,https://www.profession.hu/allas/it-security-analyst-uniqa-raiffeisen-software-service-kft-budapest-2104398?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
57,Senior IT koordinátorKarriertipp!,1051 Budapest,RWCIT Kft.,https://www.profession.hu/allas/senior-it-koordinator-rwcit-kft-budapest-2103743?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
58,Alkalmazásgazda,"1026 BUDAPEST, Pasaréti út 83.. 1. em.",O.F.SZ. Zrt.,https://www.profession.hu/allas/alkalmazasgazda-o-f-sz-zrt-budapest-2105892?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
59,Webfejlesztő,"Budapest VII. kerület, Rákóczi út 70-72.",Online Comparison Shopping Kft.,https://www.profession.hu/allas/webfejleszto-online-comparison-shopping-kft-budapest-2105075/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
60,Senior alkalmazás rendszerüzemeltető,"1122 Budapest, Krisztina körút 6.",MNB-EduLab Kompetencia Központ Kft.,https://www.profession.hu/allas/senior-alkalmazas-rendszeruzemelteto-mnb-edulab-kompetencia-kozpont-kft-budapest-2106018?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
61,AV üzemeltető,"1122 Budapest, Krisztina körút 6.",MNB-EduLab Kompetencia Központ Kft.,https://www.profession.hu/allas/av-uzemelteto-mnb-edulab-kompetencia-kozpont-kft-budapest-2106017?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
62,Cnc programozó,"6791 Szeged, Széksósi út 58.",RAMPF FORMEN Kft.,https://www.profession.hu/allas/cnc-programozo-rampf-formen-kft-szeged-2102751?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
63,Minőségmenedzsment rendszerfejlesztő mérnök,"9700 Szombathely, Csaba utca 30.",TDK Hungary Components Kft.,https://www.profession.hu/allas/minosegmenedzsment-rendszerfejleszto-mernok-tdk-hungary-components-kft-szombathely-2107056/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
64,Diákmunka - C++ Developer Trainee,Budapest III. kerület,MŰISZ Szolgáltató Iskolaszövetkezet,https://www.profession.hu/allas/diakmunka-c-developer-trainee-muisz-szolgaltato-iskolaszovetkezet-budapest-2105169?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
65,Diákmunka - Rendszer tesztmérnök gyakornok,Budapest XXIII. kerület,MŰISZ Szolgáltató Iskolaszövetkezet,https://www.profession.hu/allas/diakmunka-rendszer-tesztmernok-gyakornok-muisz-szolgaltato-iskolaszovetkezet-budapest-2105158?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
66,Incidens és problem menedzser,"1095 Budapest, Lechner Ödön fasor 9. K. épül",K&H BANK ZRT. (ICT),https://www.profession.hu/allas/incidens-es-problem-menedzser-k-h-bank-zrt-ict-budapest-2111759/pro?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
67,Data Engineer (100-16-42733/PR),Budapest,Grafton Recruitment,https://www.profession.hu/allas/data-engineer-pr-grafton-recruitment-2105146?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
68,Citrix rendszergazda,Budapest VI. kerület,Profession Services,https://www.profession.hu/allas/citrix-rendszergazda-profession-services-budapest-2105963?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
69,Security Implementation Coordinator,Budapest,LUFTHANSA SYSTEMS HUNGARIA Kft.,https://www.profession.hu/allas/security-implementation-coordinator-lufthansa-systems-hungaria-kft-2094694?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
70,System Administrator,"2131 Göd, Schenek István utca 1.",SAMSUNG SDI Magyarország Zrt.,https://www.profession.hu/allas/system-administrator-samsung-sdi-magyarorszag-zrt-god-2105901?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
71,Szoftvertesztelő,"1024 Budapest, Petrezselyem utca 7-9.",Nemzeti Élelmiszerlánc-biztonsági Hivatal,https://www.profession.hu/allas/szoftvertesztelo-nemzeti-elelmiszerlanc-biztonsagi-hivatal-budapest-2100540?sessionId=2a9db4b04157708eff0a09e84daab928,<class 'datetime.date'>
