ID,Main,Location,Corporation,Href,Date
0,Rendszergazda,Budapest,Mobile Online Kft.,/allas/rendszergazda/WU-0850#adtype=dirOA,2023-03-12
1,Android Application Engineer (f/m/d) (Budapest)Bérezés: nettó 1 500 000 - 2 000 000 Ft /,hó,Cinemo GmbH,/allas/android_application_engineer_fmd/MZ-4378#adtype=dirCU,2023-03-12
2,Notebook szerviztechnikus,Budapest,Hadrianus Kft.,/allas/notebook_szerviztechnikus/IT-9264#adtype=dirOA,2023-03-12
3,Mobiltelefon szerviztechnikus,Budapest,Hadrianus Kft.,/allas/mobiltelefon_szerviztechnikus/YE-4023#adtype=dirOA,2023-03-12
4,Számítógép szerviztechnikus,Budapest,Hadrianus Kft.,/allas/szamitogep_szerviztechnikus/JF-0502#adtype=dirOA,2023-03-12
5,GYENGEÁRAMÚ HÁLÓZATTELEPITŐ,Budapest,Best Hunters Tanácsadó Iroda,/allas/gyengearamu_halozattelepito/HA-9138#adtype=indOA,2023-03-12
6,SENIOR SOFTWARE ARCHITECT,Budapest,HVG Kiadó Zrt.,/allas/senior_software_architect/AZ-7219#adtype=dirOA,2023-03-12
7,Címkeszerkesztő munkatárs,Alsómocsolád,Bonafarm Csoport,/allas/cimkeszerkeszto_munkatars/SK-3445#adtype=dirCU,2023-03-12
8,Üzleti elemző,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/uzleti_elemzo/TA-7148#adtype=dirCU,2023-03-12
9,Projektmenedzser,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/projektmenedzser/RV-6390#adtype=dirCU,2023-03-12
10,Rendszerszervező,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/rendszerszervezo/VM-2884#adtype=dirCU,2023-03-12
11,Medior/Szenior szoftvertesztelő és/vagy tesztautomatizáló mérnök,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/mediorszenior_szoftvertesztelo_esvagy_tesztautomatizalo_mernok/ZA-9376#adtype=dirCU,2023-03-12
12,Junior manuális tesztelő,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/junior_manualis_tesztelo/TW-3872#adtype=dirCU,2023-03-12
13,Operátor,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/operator/RQ-1272#adtype=dirCU,2023-03-12
14,Incidenskezelő munkatárs,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/incidenskezelo_munkatars/LB-0091#adtype=dirCU,2023-03-12
15,Etikus hacker,Budapest,Nemzetbiztonsági Szakszolgálat,/allas/etikus_hacker/ZL-1743#adtype=dirCU,2023-03-12
16,Senior PHP fejlesztő,Budapest,Hammer MS Kft.,/allas/senior_php_fejleszto/VH-7452#adtype=dirOA,2023-03-12
17,"SAP Koordinátor (Székesfehérvár),",Debrecen,Alföldi Tej Kft.,/allas/sap_koordinator_szekesfehervar/PV-4944#adtype=dirOA,2023-03-12
18,IT-Support Technician,Magyarország,Boschung Mecatronic ,/allas/it_support_technician/CU-4536#adtype=dirOA,2023-03-12
19,Full Stack Software Engineer,Magyarország,Boschung Mecatronic ,/allas/full_stack_software_engineer/AD-6897#adtype=dirOA,2023-03-12
20,DevOps Engineer,Magyarország,Boschung Mecatronic ,/allas/devops_engineer/CL-4816#adtype=dirOA,2023-03-12
21,Logisztikai folyamat fejlesztő és támogató,Üllő,Vöröskő Kft.,/allas/logisztikai_folyamat_fejleszto_es_tamogato/TM-5059#adtype=dirCU,2023-03-12
22,IT projekt menedzser és minőségbiztosítási szakértő,Budapest,Vöröskő Kft.,/allas/it_projekt_menedzser_es_minosegbiztositasi_szakerto/BK-9774#adtype=dirCU,2023-03-12
23,IT kontroller,Budapest,BKV Zrt.,/allas/it_kontroller/XQ-4102#adtype=dirCU,2023-03-12
24,Service Chain Operations Manager (REF1549H),Budapest,Deutsche Telekom IT Solutions,/allas/service_chain_operations_manager_ref1549h/UX-3045#adtype=dirCU,2023-03-12
25,Cloud Application Operation,Budapest,Deutsche Telekom IT Solutions,/allas/cloud_application_operation/BT-5755#adtype=dirCU,2023-03-12
26,Senior Security Consultant (REF1365Q),Budapest,Deutsche Telekom IT Solutions,/allas/senior_security_consultant_ref1365q/LB-7358#adtype=dirCU,2023-03-12
27,SAP PP supporter,Budapest,Thyssenkrupp,/allas/sap_pp_supporter/RW-9523#adtype=dirCU,2023-03-12
28,AWS Data Architect - REF339V,Budapest,Deutsche Telekom IT Solutions,/allas/aws_data_architect_ref339v/SB-6335#adtype=dirCU,2023-03-12
29,Tapasztalt Frontend Fejlesztő (REF155V),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_frontend_fejleszto_ref155v/WT-4527#adtype=dirCU,2023-03-12
30,Python Developer (REF260N),Debrecen,Deutsche Telekom IT Solutions,/allas/python_developer_ref260n/ML-7772#adtype=dirCU,2023-03-12
31,Developer (REF1307I),Budapest,Deutsche Telekom IT Solutions,/allas/developer_ref1307i/GK-8222#adtype=dirCU,2023-03-12
32,People Lead - Devops (REF1105J),Budapest,Deutsche Telekom IT Solutions,/allas/people_lead_devops_ref1105j/YL-9534#adtype=dirCU,2023-03-12
33,Szoftverfejlesztő mérnök (Indusztrializáció),Budapest,Thyssenkrupp,/allas/szoftverfejleszto_mernok_indusztrializacio/XN-2814#adtype=dirCU,2023-03-12
34,DevOps Engineer ARD (TECHNIK HU/ VNI) (REF217J),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_ard_technik_hu_vni_ref217j/AC-0067#adtype=dirCU,2023-03-12
35,Operation Manager Agile (PowerPlatform) (REF1408G),Budapest,Deutsche Telekom IT Solutions,/allas/operation_manager_agile_powerplatform_ref1408g/YL-1464#adtype=dirCU,2023-03-12
36,Senior software engineer,Budapest,Thyssenkrupp,/allas/senior_software_engineer/EE-4438#adtype=dirCU,2023-03-12
37,GCP (Google Cloud Platform) Consultant - REF142Z,Budapest,Deutsche Telekom IT Solutions,/allas/gcp_google_cloud_platform_consultant_ref142z/RR-2987#adtype=dirCU,2023-03-12
38,Incident responder (cert) ref68o,Budapest,Deutsche Telekom IT Solutions,/allas/incident_responder_cert_ref68o/QB-4952#adtype=dirCU,2023-03-12
39,Security Analyst (REF92A),Budapest,Deutsche Telekom IT Solutions,/allas/security_analyst_ref92a/IP-7970#adtype=dirCU,2023-03-12
40,Service Chain Operations Manager (REF1566A),Budapest,Deutsche Telekom IT Solutions,/allas/service_chain_operations_manager_ref1566a/NV-2768#adtype=dirCU,2023-03-12
41,Scrum Master,Budapest,Thyssenkrupp,/allas/scrum_master/SO-5970#adtype=dirCU,2023-03-12
42,FMEA Moderator,Budapest,Thyssenkrupp,/allas/fmea_moderator/YO-7718#adtype=dirCU,2023-03-12
43,Applikációs funkciófejlesztő mérnök (MATLAB/Simulink),Budapest,Thyssenkrupp,/allas/applikacios_funkciofejleszto_mernok_matlabsimulink/XD-6392#adtype=dirCU,2023-03-12
