ID,Main,Location,Corporation,Salary,Href,Date
0,JAVA Developer  (m/f),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1306807/java-developer-m-f-,2023-02-27
1,Java Developer pre Digital IT (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1119087/java-developer-pre-digital-it-m-z-,2023-02-27
2,DATA ENGINEER (AI team) (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 500 EUR/mesiac,pracovna-ponuka/1321003/data-engineer-ai-team-m-z-,2023-02-27
3,Cloud Developer,Bratislava,IBM, 2 300 EUR/mesiac,pracovna-ponuka/1311787/cloud-developer,2023-02-27
4,DevSecOps Engineer,Bratislava,IBM, 2 800 EUR/mesiac,pracovna-ponuka/1311737/devsecops-engineer,2023-02-27
5,Application Architect,Bratislava,IBM, 3 800 EUR/mesiac,pracovna-ponuka/1311721/application-architect,2023-02-27
6,Start your career with Adobe!,Bratislava,IBM, 1 600 EUR/mesiac,pracovna-ponuka/1320340/start-your-career-with-adobe,2023-02-27
7,Adobe Consultant,Bratislava,IBM, 1 900 EUR/mesiac,pracovna-ponuka/1320338/adobe-consultant,2023-02-27
8,Adobe Developer,Bratislava,IBM, 1 900 EUR/mesiac,pracovna-ponuka/1320336/adobe-developer,2023-02-27
9,Adobe Senior Consultant,Bratislava,IBM, 2 800 EUR/mesiac,pracovna-ponuka/1320334/adobe-senior-consultant,2023-02-27
10,Business Data Analyst (Ref. č.: 2-15-41708),Zlaté Moravce,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1321321/business-data-analyst-ref-c-2-15-41708-,2023-02-27
11,Aplikačný administrátor/inžinier (Ref. č.: 1-16-41058),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1301177/aplikacny-administrator-inzinier-ref-c-1-16-41058-,2023-02-27
12,Java Programátor (Ref. č.: 1-16-40120),Košice,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1297241/java-programator-ref-c-1-16-40120-,2023-02-27
13,Java Developer,Bratislava,IBM, 2 300 EUR/mesiac,pracovna-ponuka/1311349/java-developer,2023-02-27
14,RPA Engineer (Ref. č.: 1-16-41153),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1306821/rpa-engineer-ref-c-1-16-41153-,2023-02-27
15,Automation Developer (Ref. č.: 1-16-41154),Bratislava,Grafton Slovakia s.r.o., 1 700 EUR/mesiac,pracovna-ponuka/1306819/automation-developer-ref-c-1-16-41154-,2023-02-27
16,"Java Tech Lead - TPP, remote (Ref. č.: 1-16-41182)",Košice,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1306811/java-tech-lead-tpp-remote-ref-c-1-16-41182-,2023-02-27
17,"Java Developer - TPP, remote (Ref. č.: 1-16-41185)",Košice,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1306809/java-developer-tpp-remote-ref-c-1-16-41185-,2023-02-27
18,IT Administrátor|BA (Ref. č.: 1-16-41639),Bratislava,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1321227/it-administratorba-ref-c-1-16-41639-,2023-02-27
19,"AWS Administrator - TPP, REMOTE (Ref. č.: 1-16-41172)",Nitra,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1306713/aws-administrator-tpp-remote-ref-c-1-16-41172-,2023-02-27
20,WINDOWS systémový administrátor- senior (Ref. č.: 1-15-41699),Bratislava,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1321009/windows-systemovy-administrator-senior-ref-c-1-15-41699-,2023-02-27
21,IT System Administrator (Ref. č.: 1-15-41698),Bratislava,Grafton Slovakia s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1321007/it-system-administrator-ref-c-1-15-41698-,2023-02-27
22,PHP Developer (m/ž),"Slovenská republika, Bratislavský kraj, Bratislava",Slovak Telekom, 2 000 EUR/mesiac,pracovna-ponuka/1142059/php-developer-m-z-,2023-02-27
23,IT test konzultant s nemeckým jazykom (Ref. č.: 1-16-41366),Bratislava,Grafton Slovakia s.r.o., 1 400 EUR/mesiac,pracovna-ponuka/1311869/it-test-konzultant-s-nemeckym-jazykom-ref-c-1-16-41366-,2023-02-27
24,Java Expert- TPP/živnosť & REMOTE (Ref. č.: 1-16-41375),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1311867/java-expert-tpp-zivnost-remote-ref-c-1-16-41375-,2023-02-27
25,DevOps Engineer - TPP/živnosť & REMOTE (Ref. č.: 1-15-41360),Bratislava,Grafton Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1311801/devops-engineer-tpp-zivnost-remote-ref-c-1-15-41360-,2023-02-27
26,Oracle DB Specialist - TPP & Remote (Ref. č.: 1-16-41675),Nitra,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1320654/oracle-db-specialist-tpp-remote-ref-c-1-16-41675-,2023-02-27
27,Frontend programátor (React & Vue.js) (Ref. č.: 1-16-41393),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1311783/frontend-programator-react-vue-js-ref-c-1-16-41393-,2023-02-27
28,PHP Programátor - FULL REMOTE (Ref. č.: 1-16-41627),Košice,Grafton Slovakia s.r.o., 2 700 EUR/mesiac,pracovna-ponuka/1320632/php-programator-full-remote-ref-c-1-16-41627-,2023-02-27
29,.NET Programátor - FULL REMOTE (Ref. č.: 1-16-41629),Košice,Grafton Slovakia s.r.o., 2 800 EUR/mesiac,pracovna-ponuka/1320628/-net-programator-full-remote-ref-c-1-16-41629-,2023-02-27
30,Junior ServiceNow Consultant,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1325199/junior-servicenow-consultant,2023-02-27
31,Senior ServiceNow Consultant,Bratislava,IBM, 3 200 EUR/mesiac,pracovna-ponuka/1325197/senior-servicenow-consultant,2023-02-27
32,"Automatizovaný tester  (TPP, REMOTE) (Ref. č.: 1-16-37782)",Košice,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1071367/automatizovany-tester-tpp-remote-ref-c-1-16-37782-,2023-02-27
33,Mainframe (ASO) Developer,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1325063/mainframe-aso-developer,2023-02-27
34,Test developer (Python) (Ref. č.: 1-16-40129),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1134355/test-developer-python-ref-c-1-16-40129-,2023-02-27
35,ASO Admin,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1325035/aso-admin,2023-02-27
36,Špecialista IT bezpečnosti a GDPR s nemeckým jazykom (ž/m),Bratislava,"dm drogerie markt, s.r.o.", 2 949 EUR/mesiac,pracovna-ponuka/1325003/specialista-it-bezpecnosti-a-gdpr-s-nemeckym-jazykom-z-m-,2023-02-27
37,Cloud Migration Architect,Bratislava,IBM, 3 600 EUR/mesiac,pracovna-ponuka/1319068/cloud-migration-architect,2023-02-27
38,Špecialista sieťovej bezpečnosti (Ref. č.: 131-16-41820),Bratislava,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1325835/specialista-sietovej-bezpecnosti-ref-c-131-16-41820-,2023-02-27
39,Špecialista na správu cloudových riešení (Ref. č.: 1-15-41220),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1307475/specialista-na-spravu-cloudovych-rieseni-ref-c-1-15-41220-,2023-02-27
