ID,Main,Location,Corporation,Href
556,API Developer,Magyarország,Hays Hungary Kft.,/allas/senior_software_engineer/BO-7515#adtype=indCU
557,Senior Software Engineer,Budapest,EasyHiring Services Kft.,/allas/it_production_launch_manager/AA-2274#adtype=indCU
558,IT Production Launch Manager,Budapest,Randstad Hungary Kft,/allas/frontend_fejleszto/JC-2508#adtype=indCU
559,Frontend fejlesztő,Pécs,Trenkwalder Kft.,/allas/bi_manager/DT-2320#adtype=indCU
560,BI Manager,Budapest,Karrier Hungária,/allas/sap_ariba_expert/TB-5332#adtype=indCU
561,SAP Ariba Expert,Budapest,Randstad Hungary Kft,/allas/vezeto_tesztmernok/XE-6060#adtype=indCU
562,Vezető tesztmérnök,Tiszaújváros,EasyHiring Services Kft.,/allas/mlops_engineer/NU-6798#adtype=indCU
563,MLOps Engineer,Budapest,Hays Hungary Kft.,/allas/c_developer/CY-7678#adtype=indCU
564,C++ Developer,Budapest,Randstad Hungary Kft,/allas/reporting_specialist/ZT-8160#adtype=indCU
565,Reporting Specialist,Budapest,Hays Hungary Kft.,/allas/java_software_engineer/NN-4051#adtype=indCU
566,Java Software Engineer,Budapest,Hays Hungary Kft.,/allas/linux_rendszermernok/AQ-6890#adtype=indCU
567,Linux rendszermérnök,Budapest,EasyHiring Services Kft.,/allas/c_developer/UD-6995#adtype=indCU
568,C++ Developer,Magyarország,EasyHiring Services Kft.,/allas/french_speaking_team_leader/PY-1697#adtype=indCU
569,French Speaking Team Leader,Budapest,EasyHiring Services Kft.,/allas/senior_java_developer/WZ-9924#adtype=indCU
570,Senior JAVA Developer,Budapest,EasyHiring Services Kft.,/allas/senior_devops_engineer/BJ-6864#adtype=indCU
571,Senior DevOps Engineer,Budapest,EasyHiring Services Kft.,/allas/palyakezdo_poziciok_nemzetkozi_kornyezetben_nemetangol_nyelvtudassal/BZ-9364#adtype=indCU
572,Pályakezdő pozíciók nemzetközi környezetben (német+angol nyelvtudással),Budapest,Hays Hungary Kft.,/allas/security_engineer/CU-4857#adtype=indCU
573,Security Engineer,Budapest,Hays Hungary Kft.,/allas/linux_system_administrator/GR-8671#adtype=indCU
574,Linux System Administrator,Budapest,EasyHiring Services Kft.,/allas/software_architect/OL-5625#adtype=indCU
575,Software Architect,Budapest,Randstad Hungary Kft,/allas/sap_abap_developer_specialist/EF-0247#adtype=indCU
576,SAP ABAP Developer - Specialist,Budapest,Randstad Hungary Kft,/allas/system_test_engineer/ZL-3204#adtype=indCU
577,System Test Engineer,Budapest,EasyHiring Services Kft.,/allas/it_business_analyst/MA-9413#adtype=indCU
578,IT Business Analyst,Kecskemét,Randstad Hungary Kft,/allas/wpm_administrator/HQ-3339#adtype=indCU
579,WPM Administrator,Budapest,Hays Hungary Kft.,/allas/intermediate_license_management_analyst/SM-8744#adtype=indCU
580,Intermediate License Management Analyst,Budapest,Randstad Hungary Kft,/allas/cloud_engineer_azure/VD-6935#adtype=indCU
581,Cloud Engineer (Azure),Budapest,EasyHiring Services Kft.,/allas/sap_sd_consultant_remotehybrid/RC-6403#adtype=indCU
582,SAP SD Consultant (remote/hybrid),Budapest,EasyHiring Services Kft.,/allas/rendszerszervezo/XZ-6314#adtype=indCU
583,Rendszerszervező,Budapest,Karrier Hungária,/allas/sap_basis_operation_services/DS-5084#adtype=indCU
584,SAP Basis Operation Services,Győr,Hays Hungary Kft.,/allas/oracle_backend_software_engineer/BR-0193#adtype=indCU
585,Oracle Backend Software Engineer,Budapest,EasyHiring Services Kft.,/allas/mediorsenior_net_developer/CV-1487#adtype=indCU
586,Medior/Senior .NET Developer,Budapest,EasyHiring Services Kft.,/allas/client_service_manager/BR-9610#adtype=indCU
587,Client Service Manager,Diósd,EasyHiring Services Kft.,/allas/cloud_software_developer/UT-1308#adtype=indCU
588,Cloud Software Developer,Budapest,Randstad Hungary Kft,/allas/junior_reporting_specialist/LO-2063#adtype=indCU
589,Junior Reporting Specialist,Budapest,EasyHiring Services Kft.,/allas/ux_designer/IX-1836#adtype=indCU
590,UX Designer,Budapest,Hays Hungary Kft.,/allas/junior_programozo/YL-3296#adtype=indCU
591,Junior programozó,Debrecen,EasyHiring Services Kft.,/allas/data_matching_specialist/MN-5586#adtype=indCU
592,Data Matching specialist,Budapest,Hays Hungary Kft.,/allas/warranty_data_analyst/HK-3723#adtype=indCU
593,Warranty Data Analyst,Magyarország,Randstad Hungary Kft,/allas/sustainability_specialist_lca_expert/CH-8667#adtype=indCU
594,Sustainability Specialist - LCA Expert,Budapest,Randstad Hungary Kft,/allas/frontend_engineer/GD-7158#adtype=indCU
595,Frontend Engineer,Budapest,EasyHiring Services Kft.,/allas/senior_it_sales_consultant/IV-3387#adtype=indCU
596,Senior IT Sales Consultant,Budapest,EasyHiring Services Kft.,/allas/project_manager_project_data_structure_processes/WY-8282#adtype=indCU
597,Project Manager - Project Data Structure & Processes,Budapest,Randstad Hungary Kft,/allas/staff_software_engineer_web/NJ-6565#adtype=indCU
598,"Staff Software Engineer, Web",Magyarország,Hays Hungary Kft.,/allas/szerver_es_halozat_rendszeradminisztrator_server_and_network_administrator/OF-8361#adtype=indCU
599,Szerver és hálózat rendszeradminisztrátor - Server and Network administrator,Budapest,EasyHiring Services Kft.,/allas/java_developer/YP-4883#adtype=indCU
600,Java Developer,Budapest,EasyHiring Services Kft.,/allas/access_manager_specialist_senior/CR-2967#adtype=indCU
601,Access Manager Specialist (Senior),Budapest,EasyHiring Services Kft.,/allas/senior_devops_engineer/ZW-4835#adtype=indCU
602,Senior DevOps Engineer,Budapest,Randstad Hungary Kft,/allas/it_project_koordinator/BK-5199#adtype=indCU
603,IT project koordinator,Budapest,Randstad Hungary Kft,/allas/embedded_software_developer_medior/AU-1458#adtype=indCU
604,Embedded software developer (medior),Budapest,EasyHiring Services Kft.,/allas/senior_full_stack_net_developer/IF-9246#adtype=indCU
605,Senior Full Stack .NET Developer,Budapest,Randstad Hungary Kft,/allas/junior_php_developer/EF-7546#adtype=indCU
606,Junior PHP Developer,Budapest,EasyHiring Services Kft.,/allas/it_security_specialist/WS-5404#adtype=indOA
607,IT security specialist,Veszprém,Hire-One Személyzeti Tanácsadó Kft.,/allas/software_engineer_front_end/JT-6779#adtype=indCU
608,Software Engineer Front-end,Magyarország,Hays Hungary Kft.,/allas/junior_net_developer/RW-4544#adtype=indCU
609,Junior .NET developer,Budapest,Randstad Hungary Kft,/allas/javajavascript_developer/NC-0512#adtype=indCU
610,Java_JavaScript Developer,Budapest,EasyHiring Services Kft.,/allas/c_developer/JW-6065#adtype=indCU
611,C# Developer,Budapest,EasyHiring Services Kft.,/allas/senior_cloudbig_data_engineer/VS-4156#adtype=indCU
612,Senior Cloud/Big Data Engineer,Budapest,Hays Hungary Kft.,/allas/identity_access_management_specialist/FP-1476#adtype=indCU
613,Identity & Access Management Specialist,Budapest,EasyHiring Services Kft.,/allas/test_lead/QK-7913#adtype=indCU
614,Test Lead,Budapest,EasyHiring Services Kft.,/allas/it_asset_manager_specialist_sw/KK-5189#adtype=indCU
615,IT Asset Manager Specialist (SW),Budapest,Randstad Hungary Kft,/allas/c_developer/HZ-4143#adtype=indCU
616,C++ Developer,Magyarország,EasyHiring Services Kft.,/allas/network_security_engineer/HE-5818#adtype=indCU
617,Network & Security Engineer,Budapest,EasyHiring Services Kft.,/allas/intermediate_license_management_analyst/MJ-7375#adtype=indCU
618,Intermediate License Management Analyst,Budapest,EasyHiring Services Kft.,/allas/data_analyst_expert/SR-1100#adtype=indCU
619,Data Analyst Expert,Budapest,EasyHiring Services Kft.,/allas/it_business_analyst/VK-7685#adtype=indCU
620,IT Business Analyst,Kecskemét,EasyHiring Services Kft.,/allas/cloud_analyzer_specialit/XM-1401#adtype=indCU
621,Cloud Analyzer Specialit,Budapest,Hays Hungary Kft.,/allas/junior_c_fejleszto/ZM-1040#adtype=indCU
622,Junior C# Fejlesztő,Magyarország,EasyHiring Services Kft.,/allas/junior_sap_vim_specialist_german_speaking/OZ-9452#adtype=indCU
623,Junior SAP VIM specialist - German speaking,Budapest,Hays Hungary Kft.,/allas/fullstack_developer/QG-3782#adtype=indCU
624,Fullstack Developer,Budapest,Hays Hungary Kft.,/allas/python_developer/UY-3263#adtype=indCU
625,Python Developer,Budapest,Hays Hungary Kft.,/allas/junior_ui_fejleszto_angular_net/XV-5371#adtype=indCU
626,Junior UI fejlesztő (Angular & .NET),Magyarország,EasyHiring Services Kft.,/allas/sales_and_it_business_analyst/WI-8300#adtype=indCU
627,Sales AND IT business analyst,Magyarország,Karrier Hungária,/allas/network_security_engineer/VJ-4276#adtype=indCU
628,Network Security Engineer,Budapest,Randstad Hungary Kft,/allas/cloud_platform_engineer/JA-5094#adtype=indCU
629,Cloud Platform Engineer,Budapest,Randstad Hungary Kft,/allas/it_project_manager/DE-4979#adtype=indCU
630,IT Project manager,Kecskemét,Randstad Hungary Kft,/allas/senior_c_developer/BH-6123#adtype=indCU
631,Senior C++ developer,Magyarország,Randstad Hungary Kft,/allas/front_end_developer/SU-3478#adtype=indCU
632,Front-end Developer,Budapest,Hays Hungary Kft.,/allas/senior_internet_analyst/TV-1903#adtype=indCU
633,Senior Internet Analyst,Budapest,Randstad Hungary Kft,/allas/java_backend_developer/GZ-0801#adtype=indCU
634,Java Backend Developer,Budapest,Hays Hungary Kft.,/allas/it_recruiter/UF-1282#adtype=indCU
635,IT Recruiter,Budapest,EasyHiring Services Kft.,/allas/bi_analyst/UK-0053#adtype=indCU
636,BI Analyst,Budapest,Hays Hungary Kft.,/allas/senior_python_software_engineer/IP-8390#adtype=indCU
637,Senior Python Software Engineer,Magyarország,Hays Hungary Kft.,/allas/java_software_engineer_in_platform_engineering/KB-9861#adtype=indCU
638,Java Software Engineer (in Platform Engineering),Budapest,EasyHiring Services Kft.,/allas/junior_analyst/IV-9951#adtype=indCU
639,Junior Analyst,Budapest,Randstad Hungary Kft,/allas/frontend_software_engineer/SG-6761#adtype=indCU
640,Frontend Software Engineer,Magyarország,EasyHiring Services Kft.,/allas/java_developer/TU-6723#adtype=indCU
641,Java developer,Budapest,EasyHiring Services Kft.,/allas/full_stack_developer_cangular_medior/MS-5453#adtype=indCU
642,Full-stack developer C#/Angular - Medior,Budapest,Hays Hungary Kft.,/allas/lead_test_engineer/NK-7863#adtype=indCU
643,Lead Test Engineer,Budapest,EasyHiring Services Kft.,/allas/full_stack_developer/CV-6177#adtype=indCU
644,Full Stack Developer,Budapest,Randstad Hungary Kft,/allas/sap_pp_analyst/JJ-8870#adtype=indCU
645,SAP PP Analyst,Magyarország,EasyHiring Services Kft.,/allas/sap_project_coordinator/BY-3973#adtype=indCU
646,SAP Project Coordinator,Budapest,Randstad Hungary Kft,/allas/nc_programozo/XH-3839#adtype=indCU
647,NC Programozó,Gyula,EasyHiring Services Kft.,/allas/sap_technical_expert_archiving/ZT-5222#adtype=indCU
648,SAP Technical Expert (Archiving),Magyarország,EasyHiring Services Kft.,/allas/hw_fejlesztomernok_induktiv_szenzorok/ON-4872#adtype=indCU
649,HW fejlesztőmérnök (induktív szenzorok),Veszprém,EasyHiring Services Kft.,/allas/embedded_sw_engineer/SI-7760#adtype=indCU
650,Embedded SW Engineer,Budapest,Hays Hungary Kft.,/allas/java_serverclient_software_engineer/KY-2790#adtype=indCU
651,Java server/client Software Engineer,Budapest,EasyHiring Services Kft.,/allas/java_developer/RG-1946#adtype=indCU
652,Java Developer,Budapest,EasyHiring Services Kft.,/allas/software_test_engineer/DQ-2845#adtype=indCU
653,Software Test Engineer,Budapest,Randstad Hungary Kft,/allas/development_engineer_fmea/ZS-3342#adtype=indCU
654,Development Engineer (FMEA),Eger,Randstad Hungary Kft,/allas/sap_it_application_consultant_controlling/SK-8304#adtype=indCU
655,SAP IT Application consultant Controlling,Budapest,EasyHiring Services Kft.,/allas/senior_angular_frontend_developer/KD-8507#adtype=indCU
656,Senior Angular Frontend Developer,Budapest,Hays Hungary Kft.,/allas/backend_developer/VP-4999#adtype=indCU
657,Backend Developer,Budapest,Hays Hungary Kft.,/allas/rendszerfejleszto_mernok/HD-7298#adtype=indCU
658,Rendszerfejlesztő mérnök,Budapest,Hays Hungary Kft.,/allas/service_management_specialist/JP-7495#adtype=indCU
659,Service Management Specialist,Budapest,Trenkwalder Kft.,/allas/slovak_polish_it_support/RI-6660#adtype=indCU
660,Slovak / Polish IT Support,Budapest,Hays Hungary Kft.,/allas/software_development_engineer_for_iot_testbenches/TA-5516#adtype=indCU
661,Software Development Engineer For IOT Testbenches,Budapest,EasyHiring Services Kft.,/allas/data_scientist/JI-2604#adtype=indCU
662,Data Scientist,Budapest,Hays Hungary Kft.,/allas/sap_master_data_specialist/IU-1539#adtype=indCU
663,SAP Master Data Specialist,Budapest,Hays Hungary Kft.,/allas/sap_manufacturing_module_support/PG-8514#adtype=indCU
664,SAP Manufacturing module support,Budapest,EasyHiring Services Kft.,/allas/system_administrator_german_speaking/FA-4039#adtype=indCU
665,System administrator (german speaking),Magyarország,Randstad Hungary Kft,/allas/sap_key_user_mmpp/QJ-2910#adtype=indCU
666,SAP Key user MM/PP,Budapest,Hays Hungary Kft.,/allas/application_specialist_in_automation/XD-4275#adtype=indCU
667,Application Specialist in Automation,Magyarország,Randstad Hungary Kft,/allas/szoftvertesztelo_mernok_beagyazott_rendszerek/WY-3154#adtype=indCU
668,Szoftvertesztelő mérnök - Beágyazott rendszerek,Budapest,Randstad Hungary Kft,/allas/rpa_developer/RT-6259#adtype=indCU
669,RPA Developer,Budapest,EasyHiring Services Kft.,/allas/staff_software_engineer_react_golang_aws/DU-1550#adtype=indCU
670,"Staff Software Engineer (React, Golang, AWS)",Budapest,Hays Hungary Kft.,/allas/sap_master_data_application_consultant/YK-4722#adtype=indCU
671,SAP Master Data Application Consultant,Budapest,Randstad Hungary Kft,/allas/java_software_engineer_in_platform_engineering/NT-9287#adtype=indCU
672,Java Software Engineer (in Platform Engineering),Budapest,Randstad Hungary Kft,/allas/sustainability_business_analyst_power_bi/NS-4128#adtype=indCU
673,Sustainability Business Analyst (Power BI),Budapest,EasyHiring Services Kft.,/allas/sap_sd_consultantanalyst/ZG-9594#adtype=indCU
674,SAP SD Consultant/Analyst,Budapest,EasyHiring Services Kft.,/allas/fejlesztesi_csapatvezeto/FK-7109#adtype=indCU
675,Fejlesztési csapatvezető,Debrecen,Trenkwalder Kft.,/allas/operations_manager/FD-8537#adtype=indCU
676,Operations Manager (Hajdú-Bihar,megye,EasyHiring Services Kft.,/allas/devops_engineer_in_platform_engineering/XT-5502#adtype=indCU
677,DevOps Engineer in Platform Engineering,Budapest,EasyHiring Services Kft.,/allas/advanced_it_audit_analyst/GI-0596#adtype=indCU
678,Advanced IT Audit Analyst,Budapest,Randstad Hungary Kft,/allas/jatektesztelo/UQ-9431#adtype=indCU
679,Játéktesztelő,Budapest,EasyHiring Services Kft.,/allas/diagnosztikai_rendszertervezo_mernok/AF-7396#adtype=indCU
680,diagnosztikai rendszertervező mérnök,Budapest,Randstad Hungary Kft,/allas/integration_platform_engineer/CS-2915#adtype=indCU
681,Integration Platform Engineer,Budapest,Hays Hungary Kft.,/allas/contract_specialist/SP-5551#adtype=indCU
682,Contract Specialist,Budapest,EasyHiring Services Kft.,/allas/embedded_software_test_engineer/ZO-8702#adtype=indCU
683,Embedded Software Test Engineer,Budapest,Hays Hungary Kft.,/allas/javajavascript_developer/NR-0828#adtype=indCU
684,Java_JavaScript Developer,Budapest,Randstad Hungary Kft,/allas/power_plant_software_engineer/PW-6330#adtype=indCU
685,power plant software engineer,Magyarország,EasyHiring Services Kft.,/allas/medior_senior_java_fejleszto/YA-5098#adtype=indCU
686,Medior / Senior Java fejlesztő,Budapest,Hays Hungary Kft.,/allas/specialist_it_pa_governance_strategy/OY-5680#adtype=indCU
687,Specialist IT PA Governance & Strategy,Budapest,Randstad Hungary Kft,/allas/hardverfejleszto_mernok/WX-5194#adtype=indCU
688,Hardverfejlesztő mérnök,Budapest,EasyHiring Services Kft.,/allas/nemetfranciaolaszlengyelholland_nyelven_beszelo_it_helpdesk_munkatars/JR-5821#adtype=indCU
689,német/francia/olasz/lengyel/holland nyelven beszélő IT Helpdesk munkatárs,Budapest,EasyHiring Services Kft.,/allas/it_operations_administrator/CU-4214#adtype=indCU
690,IT Operations Administrator (Jász-Nagykun-Szolnok,megye,Hays Hungary Kft.,/allas/rendszermernok/IE-0013#adtype=indCU
691,Rendszermérnök,Veszprém,EasyHiring Services Kft.,/allas/development_test_engineer/PN-5565#adtype=indCU
692,Development Test Engineer (Pest,megye,Hays Hungary Kft.,/allas/mediorsenior_net_developer/RU-0937#adtype=indCU
693,Medior/Senior .NET Developer,Budapest,Randstad Hungary Kft,/allas/senior_service_operations_engineer/DY-5369#adtype=indCU
694,Senior Service Operations Engineer,Debrecen,Randstad Hungary Kft,/allas/rendszerszervezo/XH-8260#adtype=indCU
695,Rendszerszervező,Budapest,EasyHiring Services Kft.,/allas/c_team_lead/FH-1263#adtype=indCU
696,C++ Team Lead,Budapest,EasyHiring Services Kft.,/allas/backend_engineer_scala_protect_team/IN-6015#adtype=indCU
697,Backend Engineer (Scala) - protect team,Budapest,Randstad Hungary Kft,/allas/erp_programozo/BM-6511#adtype=indCU
698,ERP programozó,Budapest,EasyHiring Services Kft.,/allas/maintenance_engineer/MT-3403#adtype=indCU
699,Maintenance Engineer,Magyarország,EasyHiring Services Kft.,/allas/test_engineer/VL-9644#adtype=indCU
700,Test Engineer,Budapest,EasyHiring Services Kft.,/allas/test_engineer/JW-9646#adtype=indCU
701,Test Engineer,Budapest,Randstad Hungary Kft,/allas/german_speaking_service_desk_specialist/PG-7422#adtype=indCU
702,German Speaking Service Desk Specialist,Budapest,Hays Hungary Kft.,/allas/frontend_software_engineer_angular/RU-7708#adtype=indCU
703,Frontend Software Engineer (Angular),Budapest,Hays Hungary Kft.,/allas/sap_basis_engineer/ES-1295#adtype=indCU
704,SAP Basis Engineer,Budapest,Hays Hungary Kft.,/allas/ran_support_engineer/DM-4389#adtype=indCU
705,RAN Support Engineer,Budapest,Hays Hungary Kft.,/allas/junior_platform_monitoring_network_engineer/KL-5913#adtype=indCU
706,Junior platform monitoring network engineer,Budapest,EasyHiring Services Kft.,/allas/c_fejleszto/LY-0177#adtype=indCU
707,C# fejlesztő,Debrecen,Trenkwalder Kft.,/allas/project_manager_project_data_structure_processes/TW-0031#adtype=indCU
708,Project Manager - Project Data Structure & Processes,Magyarország,EasyHiring Services Kft.,/allas/it_portal_business_analyst_junior/QZ-9617#adtype=indCU
709,IT Portal Business Analyst (junior),Budapest,EasyHiring Services Kft.,/allas/security_tech_professional/LI-3867#adtype=indCU
710,Security Tech Professional,Budapest,Hays Hungary Kft.,/allas/oracle_backend_software_engineer/ZD-6267#adtype=indCU
711,Oracle Backend Software Engineer,Budapest,Hays Hungary Kft.,/allas/sap_bw4hana_supporter/LY-9657#adtype=indCU
712,SAP BW/4HANA supporter,Budapest,Randstad Hungary Kft,/allas/php_javascript_full_stack_fejleszto/VZ-6093#adtype=indCU
713,PHP & Javascript Full-stack fejlesztő,Budapest,EasyHiring Services Kft.,/allas/data_transmits_engineer/SJ-2806#adtype=indCU
714,Data Transmits Engineer,Budapest,EasyHiring Services Kft.,/allas/senior_c_fejleszto/QB-2821#adtype=indCU
715,Senior C# fejlesztő,Budapest,EasyHiring Services Kft.,/allas/senior_java_fejleszto/NC-3378#adtype=indCU
716,Senior Java Fejlesztő,Debrecen,EasyHiring Services Kft.,/allas/devops_engineer/QO-0268#adtype=indCU
717,Devops Engineer,Magyarország,Hays Hungary Kft.,/allas/it_business_system_specialist/OY-6554#adtype=indOA
718,IT Business System Specialist,Székesfehérvár,Hire-One Személyzeti Tanácsadó Kft.,/allas/medior_linux_rendszergazda/VH-0722#adtype=indCU
719,Medior Linux Rendszergazda,Magyarország,EasyHiring Services Kft.,/allas/it_specialist/HO-1714#adtype=indCU
720,IT specialist,Tiszaújváros,EasyHiring Services Kft.,/allas/junior_php_developer/TI-2260#adtype=indCU
721,Junior PHP Developer,Budapest,Randstad Hungary Kft,/allas/embedded_software_engineer/KJ-8095#adtype=indCU
722,Embedded Software Engineer,Budapest,Hays Hungary Kft.,/allas/senior_embedded_software_engineer/VZ-3490#adtype=indCU
723,Senior Embedded Software Engineer,Budapest,Hays Hungary Kft.,/allas/head_of_product/QZ-8396#adtype=indCU
724,Head of Product,Budapest,Randstad Hungary Kft,/allas/senior_full_stack_net_developer/OU-6093#adtype=indCU
725,Senior Full Stack .NET Developer,Budapest,EasyHiring Services Kft.,/allas/toborzasi_tanacsado_it_fokusszal/OD-5391#adtype=indCU
726,Toborzási Tanácsadó IT fókusszal,Budapest,EasyHiring Services Kft.,/allas/cloud_software_engineer_with_net/SY-2136#adtype=indCU
727,Cloud Software Engineer (with .NET),Budapest,EasyHiring Services Kft.,/allas/aphex_fejleszto/LO-9150#adtype=indCU
728,Aphex fejlesztő,Budapest,Hays Hungary Kft.,/allas/dutch_speaking_it_support/BA-8020#adtype=indCU
729,Dutch speaking IT support,Budapest,Hays Hungary Kft.,/allas/implementation_engineer/SB-1360#adtype=indCU
730,Implementation Engineer,Magyarország,Hays Hungary Kft.,/allas/o365_engineer/PG-2326#adtype=indCU
731,O365 Engineer,Budapest,EasyHiring Services Kft.,/allas/it_specialist/BD-4383#adtype=indCU
732,IT Specialist,Tiszaújváros,EasyHiring Services Kft.,/allas/full_stack_developer_nodejs/FT-7029#adtype=indCU
733,Full-stack developer (node.js),Budapest,EasyHiring Services Kft.,/allas/iam_engineer/BG-3864#adtype=indCU
734,IAM Engineer,Budapest,Hays Hungary Kft.,/allas/java_serverclient_software_engineer/XS-2806#adtype=indCU
735,Java server/client Software Engineer,Budapest,Randstad Hungary Kft,/allas/medior_full_stack_developer/VS-6903#adtype=indCU
736,Medior full stack developer,Budapest,EasyHiring Services Kft.,/allas/sap_basis_administrator/SA-7474#adtype=indCU
737,SAP Basis Administrator,Budapest,Hays Hungary Kft.,/allas/mediorsenior_java_developer/VZ-6268#adtype=indCU
738,Medior/Senior Java developer,Budapest,Hays Hungary Kft.,/allas/system_administrator_german_speaking/NV-9611#adtype=indCU
739,System administrator (german speaking),Németország,EasyHiring Services Kft.,/allas/sap_consultant_pp/NP-3936#adtype=indCU
740,SAP Consultant (PP),Magyarország,EasyHiring Services Kft.,/allas/master_data_expert/AD-1457#adtype=indCU
741,Master Data Expert,Magyarország,EasyHiring Services Kft.,/allas/java_developer/PE-9881#adtype=indCU
742,Java Developer,Budapest,EasyHiring Services Kft.,/allas/software_project_manager/LL-3957#adtype=indCU
743,Software Project Manager,Szombathely,Hays Hungary Kft.,/allas/beagyazott_sw_fejlesztomernok_induktiv_szenzorok/ZH-0862#adtype=indCU
744,Beágyazott SW fejlesztőmérnök (induktív szenzorok),Veszprém,EasyHiring Services Kft.,/allas/angular_fejleszto/HA-6081#adtype=indCU
745,Angular Fejlesztő,Budapest,Karrier Hungária,/allas/reporting_expert_snowflake_system/YE-8320#adtype=indCU
746,Reporting Expert - Snowflake system,Budapest,Hays Hungary Kft.,/allas/junior_golang_developer/EN-7133#adtype=indCU
747,Junior Golang Developer,Budapest,Randstad Hungary Kft,/allas/system_administrator/CZ-3245#adtype=indCU
748,System Administrator,Budapest,Hays Hungary Kft.,/allas/sap_consultant/NN-6258#adtype=indCU
749,SAP Consultant,Kistelek,EasyHiring Services Kft.,/allas/java_developer/OE-8286#adtype=indCU
750,Java Developer,Budapest,Randstad Hungary Kft,/allas/revenue_accountant/TK-6413#adtype=indCU
751,Revenue Accountant,Magyarország,EasyHiring Services Kft.,/allas/kockazatkezelesi_senior_szakerto/IL-7817#adtype=indCU
752,Kockázatkezelési senior szakértő,Budapest,EasyHiring Services Kft.,/allas/gazdasagi_es_it_asszisztens_nemet_nyelvismerettel/OC-9879#adtype=indCU
753,Gazdasági és IT asszisztens német nyelvismerettel (Veszprém,megye,Trenkwalder Kft.,/allas/sap_otcsd_consultant/GY-1826#adtype=indCU
754,SAP OTC/SD Consultant,Budapest,Hays Hungary Kft.,/allas/sap_mm_consultantanalyst_focusing_on_inbound_logistics/PR-3861#adtype=indCU
755,SAP MM consultant/analyst - focusing on inbound logistics,Budapest,EasyHiring Services Kft.,/allas/juniormediorseniorlead_szoftver_tesztautomatizalo_mernok/II-3895#adtype=indCU
756,Junior/Medior/Senior/Lead Szoftver tesztautomatizáló mérnök,Budapest,EasyHiring Services Kft.,/allas/lead_lv_and_hv_power_system_engineer/TS-7982#adtype=indCU
757,Lead LV and HV Power System Engineer,Budapest,EasyHiring Services Kft.,/allas/cloud_platform_engineer/CI-7520#adtype=indCU
758,Cloud Platform Engineer,Magyarország,EasyHiring Services Kft.,/allas/sap_solution_architect/NF-4060#adtype=indCU
759,SAP Solution Architect,Budapest,EasyHiring Services Kft.,/allas/senior_java_developer_english_and_german_speaking/VF-2014#adtype=indCU
760,Senior Java Developer (English and German-Speaking),Budapest,EasyHiring Services Kft.,/allas/nfv_engineer/FG-4563#adtype=indCU
761,NFV Engineer,Budapest,EasyHiring Services Kft.,/allas/csatlakozo_letesitesi_munkatars_baja/TU-0763#adtype=indCU
762,Csatlakozó létesítési munkatárs (Baja),Szeged,EasyHiring Services Kft.,/allas/sap_senior_consultant_production_planning/SL-0299#adtype=indCU
763,SAP Senior Consultant - Production Planning,Budapest,EasyHiring Services Kft.,/allas/software_engineer_team_lead/GA-3822#adtype=indCU
764,Software engineer team lead,Budapest,EasyHiring Services Kft.,/allas/it_procurement_manager_italian_speaking/JR-0094#adtype=indCU
765,IT Procurement Manager (Italian speaking),Budapest,Randstad Hungary Kft,/allas/logistics_network_solutions_analyst/LJ-5585#adtype=indCU
766,Logistics Network Solutions Analyst,Budapest,Randstad Hungary Kft,/allas/it_technikus_rendszergazda/GA-7076#adtype=indOA
767,IT technikus / Rendszergazda,Szigetszentmiklós,Hire-One Személyzeti Tanácsadó Kft.,/allas/python_developer_for_engineering_expert/VP-9724#adtype=indCU
768,Python Developer for Engineering Expert,Budapest,EasyHiring Services Kft.,/allas/data_and_ai_solution_architect/MB-4229#adtype=indCU
769,Data and AI Solution Architect,Budapest,EasyHiring Services Kft.,/allas/net_developer/WZ-3913#adtype=indCU
770,.Net Developer,Budapest,EasyHiring Services Kft.,/allas/kiemelt_gepkezelo/PD-2526#adtype=indCU
771,Kiemelt gépkezelő,Tiszaújváros,EasyHiring Services Kft.,/allas/full_stack_developer/QI-9874#adtype=indCU
772,Full Stack Developer,Budapest,EasyHiring Services Kft.,/allas/szoftver_validacios_mernok/TL-7076#adtype=indOA
773,Szoftver validációs mérnök,Tatabánya,Hire-One Személyzeti Tanácsadó Kft.,/allas/cloud_data_engineer/TI-9942#adtype=indCU
774,Cloud Data Engineer,Budapest,Randstad Hungary Kft,/allas/senior_c_developer/AR-3734#adtype=indCU
775,Senior C++ Developer,Budapest,EasyHiring Services Kft.,/allas/senior_data_engineer/WU-9720#adtype=indCU
776,Senior Data Engineer,Budapest,Hays Hungary Kft.,/allas/it_projektmernok/KZ-0909#adtype=indOA
777,IT projektmérnök,Székesfehérvár,Hire-One Személyzeti Tanácsadó Kft.,/allas/m365_platform_management_operations_expert/PB-5554#adtype=indCU
778,M365 Platform Management & Operations Expert,Budapest,Randstad Hungary Kft,/allas/project_quality_specialist/MT-6563#adtype=indCU
779,Project quality specialist,Magyarország,Randstad Hungary Kft,/allas/abap_developer/SG-1524#adtype=indCU
780,ABAP Developer,Magyarország,Randstad Hungary Kft,/allas/finance_reporting_specialist/UT-2920#adtype=indCU
781,Finance Reporting Specialist,Budapest,Hays Hungary Kft.,/allas/business_analyst/RD-9228#adtype=indCU
782,Business Analyst,Magyarország,Randstad Hungary Kft,/allas/senior_full_stack_fejleszto/FF-6651#adtype=indCU
