ID,Main,Location,Corporation,Href
386,Junior UI fejlesztő (Angular & .NET),Budapest,Randstad Hungary Kft,/allas/angular_frontend_developer/ZL-0209#adtype=indCU
387,Angular Frontend Developer,Budapest,Randstad Hungary Kft,/allas/sap_mm_consultantanalyst_focusing_on_inbound_logistics/UT-8350#adtype=indCU
388,SAP MM consultant/analyst - focusing on inbound logistics,Budapest,Randstad Hungary Kft,/allas/devops_engineer_in_platform_engineering/RK-9977#adtype=indCU
389,DevOps Engineer in Platform Engineering,Budaörs,Randstad Hungary Kft,/allas/marketing_and_communication_specialist/KQ-2547#adtype=indCU
390,Marketing and Communication Specialist,Budapest,Randstad Hungary Kft,/allas/data_transmits_engineer/QD-7443#adtype=indCU
391,Data Transmits Engineer,Budapest,Randstad Hungary Kft,/allas/german_speaking_service_desk_agent/FX-7928#adtype=indOA
392,GERMAN SPEAKING SERVICE DESK AGENT,Magyarország,Vision Recruitment Kft.,/allas/french_it_service_desk_analyst/BX-4145#adtype=indOA
393,FRENCH IT SERVICE DESK ANALYST,Magyarország,Vision Recruitment Kft.,/allas/vezeto_tesztmernok/BP-2538#adtype=indCU
394,Vezető tesztmérnök,Tiszaújváros,Randstad Hungary Kft,/allas/polish_speaking_service_desk_representative/JM-1082#adtype=indOA
395,POLISH SPEAKING SERVICE DESK REPRESENTATIVE,Magyarország,Vision Recruitment Kft.,/allas/szoftverfejleszto/JP-5722#adtype=indCU
396,SZOFTVERFEJLESZTŐ,Szeged,Produkteam Kft.,/allas/java_team_leader/KH-1718#adtype=indCU
397,Java Team Leader,Budapest,Hays Hungary Kft.,/allas/data_scientist/YC-0283#adtype=indCU
398,Data Scientist,Magyarország,Hays Hungary Kft.,/allas/sap_it_application_consultant_controlling/VT-6348#adtype=indCU
399,SAP IT Application consultant Controlling,Magyarország,Randstad Hungary Kft,/allas/windows_system_administrator/GG-9054#adtype=indCU
400,Windows System Administrator,Érd,Hays Hungary Kft.,/allas/it_projektvezeto_szoftver_implementacio/JC-7557#adtype=indCU
401,IT Projektvezető (Szoftver Implementáció),Budapest,Randstad Hungary Kft,/allas/sap_ibp_consultant/KY-7170#adtype=indCU
402,SAP IBP Consultant,Budapest,Randstad Hungary Kft,/allas/senior_data_engineer/PR-8197#adtype=indCU
403,Senior Data Engineer,Budapest,EasyHiring Services Kft.,/allas/java_fejleszto/XX-5230#adtype=indCU
404,Java fejlesztő,Budapest,EasyHiring Services Kft.,/allas/it_specialist/SM-1425#adtype=indCU
405,IT specialist,Debrecen,EasyHiring Services Kft.,/allas/senior_software_engineer_net/LS-1357#adtype=indCU
406,Senior Software Engineer (.NET),Budapest,Trenkwalder Kft.,/allas/big_data_engineer/AS-4504#adtype=indCU
407,Big Data Engineer,Budapest,Karrier Hungária,/allas/java_fejleszto/GI-2935#adtype=indCU
408,Java fejlesztő,Budapest,EasyHiring Services Kft.,/allas/cybersecurity_specialist/TT-0668#adtype=indCU
409,Cybersecurity Specialist,Budapest,Hays Hungary Kft.,/allas/application_support_engineer/VI-2781#adtype=indCU
410,Application Support Engineer,Magyarország,EasyHiring Services Kft.,/allas/customer_support_administrator/UJ-7185#adtype=indCU
411,Customer Support Administrator,Budapest,Randstad Hungary Kft,/allas/informatikai_folyamatfejleszto/QV-8446#adtype=indCU
412,Informatikai folyamatfejlesztő,Nyíregyháza,EasyHiring Services Kft.,/allas/java_developer/PY-0919#adtype=indCU
413,Java Developer,Budapest,EasyHiring Services Kft.,/allas/it_mernok_tatabanya/YN-9938#adtype=indOA
414,IT mérnök (Tatabánya),Környe,Hire-One Személyzeti Tanácsadó Kft.,/allas/software_qa_test_engineer/GS-6017#adtype=indCU
415,Software QA Test Engineer,Budapest,Hays Hungary Kft.,/allas/senior_java_developer/ED-0511#adtype=indCU
416,Senior Java Developer,Budapest,Hays Hungary Kft.,/allas/software_engineer_angularjsjava/ZK-9179#adtype=indCU
417,Software Engineer (Angular/JS/Java),Budapest,Randstad Hungary Kft,/allas/advanced_it_audit_analyst/JI-0893#adtype=indCU
418,Advanced IT Audit Analyst,Magyarország,EasyHiring Services Kft.,/allas/lead_software_engineer_java/KV-7535#adtype=indCU
419,Lead Software Engineer (Java),Budapest,EasyHiring Services Kft.,/allas/c_fejleszto/ME-0448#adtype=indCU
420,C# fejlesztő,Szeged,Trenkwalder Kft.,/allas/halozatepito_munkatars/LE-0531#adtype=indCU
421,Hálózatépítő munkatárs,Algyő,Randstad Hungary Kft,/allas/gyartastervezo_mernok/ZU-2365#adtype=indCU
422,Gyártástervező mérnök,Debrecen,Randstad Hungary Kft,/allas/data_analytics_expert/WD-9806#adtype=indCU
423,Data Analytics Expert,Budapest,EasyHiring Services Kft.,/allas/devops_engineer/XY-8181#adtype=indCU
424,DevOps Engineer,Budapest,EasyHiring Services Kft.,/allas/linux_system_administrator/TW-9285#adtype=indCU
425,Linux System Administrator,Budapest,Randstad Hungary Kft,/allas/software_engineer/TA-3029#adtype=indCU
426,Software Engineer,Szolnok,Trenkwalder Kft.,/allas/ai_team_lead/JJ-5172#adtype=indCU
427,AI Team Lead,Budapest,Hays Hungary Kft.,/allas/scrum_master/RO-5713#adtype=indCU
428,Scrum Master,Budapest,Hays Hungary Kft.,/allas/sap_apo_consultant/QU-1096#adtype=indCU
429,SAP-APO Consultant,Budapest,EasyHiring Services Kft.,/allas/senior_l2_support_analyst/BL-2213#adtype=indCU
430,Senior L2 Support Analyst,Budapest,Hays Hungary Kft.,/allas/test_automation_engineer/DD-0156#adtype=indCU
431,Test Automation Engineer,Budapest,EasyHiring Services Kft.,/allas/erp_trener/PG-3027#adtype=indCU
432,ERP tréner,Nyíregyháza,EasyHiring Services Kft.,/allas/muanyagipari_gepkezelo/UI-9758#adtype=indCU
433,Műanyagipari gépkezelő,Magyarország,EasyHiring Services Kft.,/allas/cloud_devops_engineer/QU-0504#adtype=indCU
434,Cloud DevOps Engineer,Magyarország,Randstad Hungary Kft,/allas/senior_python_developer/OS-8094#adtype=indCU
435,Senior Python developer,Budapest,Randstad Hungary Kft,/allas/senior_c_developer/UP-1325#adtype=indCU
436,Senior C++ Developer,Budapest,EasyHiring Services Kft.,/allas/abap_developer/JS-8093#adtype=indCU
437,ABAP Developer,Budapest,EasyHiring Services Kft.,/allas/senior_it_recruiter/GE-3941#adtype=indCU
438,Senior IT Recruiter,Budapest,EasyHiring Services Kft.,/allas/junior_full_stack_developer/UY-0139#adtype=indCU
439,Junior Full Stack Developer,Debrecen,EasyHiring Services Kft.,/allas/o365_engineer/HZ-5093#adtype=indCU
440,O365 Engineer,Magyarország,Randstad Hungary Kft,/allas/system_engineer_technical_service/RT-2479#adtype=indCU
441,System Engineer Technical Service,Budaörs,EasyHiring Services Kft.,/allas/junior_fullstack_developer/ZW-8642#adtype=indCU
442,Junior Fullstack Developer,Budapest,Hays Hungary Kft.,/allas/sap_sd_consultantanalyst/KW-1068#adtype=indCU
443,SAP SD Consultant/Analyst,Magyarország,Randstad Hungary Kft,/allas/it_munkatars/CM-9908#adtype=indCU
444,IT munkatárs,Sajóbábony,Trenkwalder Kft.,/allas/halozatepito_munkatars/UM-4379#adtype=indCU
445,Hálózatépítő munkatárs,Algyő,EasyHiring Services Kft.,/allas/embedded_penetration_tester_ethical_hacker/YE-2237#adtype=indCU
446,Embedded Penetration Tester (Ethical Hacker),Budapest,Hays Hungary Kft.,/allas/embedded_software_development_engineer_rolls_royce/AB-3671#adtype=indCU
447,Embedded Software Development Engineer (Rolls-Royce),Budapest,Hays Hungary Kft.,/allas/iot_backend_developer/BJ-8502#adtype=indCU
448,IoT Backend Developer,Eger,Randstad Hungary Kft,/allas/service_designer/GA-9502#adtype=indCU
449,Service Designer,Budapest,Randstad Hungary Kft,/allas/it_production_launch_manager/QQ-0948#adtype=indCU
450,IT Production Launch Manager,Budapest,EasyHiring Services Kft.,/allas/devops_engineer/RO-1474#adtype=indCU
451,Devops Engineer,Budapest,Randstad Hungary Kft,/allas/manualis_tesztelo/VG-2733#adtype=indCU
452,Manuális Tesztelő,Budapest,Karrier Hungária,/allas/it_infra_engineer/OW-7777#adtype=indCU
453,IT Infra Engineer,Budapest,EasyHiring Services Kft.,/allas/technical_support_engineer/SO-3163#adtype=indCU
454,Technical Support Engineer,Budaörs,EasyHiring Services Kft.,/allas/backend_fejleszto/GS-9770#adtype=indCU
455,Backend fejlesztő,Debrecen,EasyHiring Services Kft.,/allas/cloud_devops_engineer/TL-8746#adtype=indCU
456,Cloud DevOps Engineer,Magyarország,EasyHiring Services Kft.,/allas/devops_engineer/UY-7053#adtype=indCU
457,DevOps Engineer,Budapest,EasyHiring Services Kft.,/allas/devops_engineer/ON-5996#adtype=indCU
458,DevOps Engineer,Budapest,Randstad Hungary Kft,/allas/backend_c_developer/GA-8985#adtype=indCU
459,Backend C# Developer,Budapest,Randstad Hungary Kft,/allas/senior_szoftverfejleszto_mernok/PZ-2624#adtype=indCU
460,Senior szoftverfejlesztő mérnök,Veszprém,Trenkwalder Kft.,/allas/sap_sd_consultant_hybridremote/SJ-2956#adtype=indCU
461,SAP SD Consultant (hybrid/remote),Budapest,EasyHiring Services Kft.,/allas/it_support/XJ-2733#adtype=indCU
462,IT Support (Szabolcs-Szatmár-Bereg,megye,Hays Hungary Kft.,/allas/c_fejleszto/AM-5706#adtype=indCU
463,C# fejlesztő,Budapest,Trenkwalder Kft.,/allas/sap_ewm_application_consultant/KM-8755#adtype=indCU
464,SAP EWM Application Consultant,Budapest,EasyHiring Services Kft.,/allas/warranty_data_analyst/UM-9841#adtype=indCU
465,Warranty Data Analyst,Magyarország,EasyHiring Services Kft.,/allas/data_and_ai_solution_architect/LE-7113#adtype=indCU
466,Data and AI Solution Architect,Budapest,Randstad Hungary Kft,/allas/service_desk_gyakornok/WO-8305#adtype=indCU
467,Service desk gyakornok (Budapest)Bérezés: bruttó 1 800 Ft /,óra,Mind-Diák Szövetkezet,/allas/it_product_owner/JF-5374#adtype=indCU
468,IT Product Owner,Budapest,Randstad Hungary Kft,/allas/cyber_security_sme/HB-2767#adtype=indCU
469,Cyber Security SME,Budapest,EasyHiring Services Kft.,/allas/network_operations_team_lead/OH-5348#adtype=indCU
470,Network Operations Team Lead,Budapest,EasyHiring Services Kft.,/allas/technical_support_engineer/CA-6025#adtype=indCU
471,Technical Support Engineer,Budapest,Trenkwalder Kft.,/allas/api_developer/UY-7627#adtype=indCU
472,API developer,Budapest,Hays Hungary Kft.,/allas/service_desk_agent_polish_speaking/TC-5785#adtype=indCU
473,Service desk agent- Polish speaking,Budapest,Karrier Hungária,/allas/data_operations_intern/PH-8903#adtype=indCU
474,Data Operations Intern (Budapest)Bérezés: bruttó 2 350 Ft /,óra,Mind-Diák Szövetkezet,/allas/software_engineer/IA-6438#adtype=indCU
475,Software Engineer,Budapest,EasyHiring Services Kft.,/allas/full_stack_engineer/CG-2499#adtype=indCU
476,Full Stack Engineer,Budapest,Hays Hungary Kft.,/allas/senior_security_admin/FT-5447#adtype=indCU
477,Senior Security Admin,Budapest,EasyHiring Services Kft.,/allas/cloud_software_developer/NY-1248#adtype=indCU
478,Cloud Software Developer,Budapest,EasyHiring Services Kft.,/allas/halozatepito/HO-9780#adtype=indCU
479,Hálózatépítő,Budapest,EasyHiring Services Kft.,/allas/webfejleszto/XE-1015#adtype=indCU
480,Webfejlesztő,Szekszárd,Trenkwalder Kft.,/allas/junior_data_scientist/NF-0500#adtype=indCU
481,Junior Data Scientist,Budapest,Hays Hungary Kft.,/allas/sw_project_quality_specialist/EM-2159#adtype=indCU
482,SW Project quality specialist,Budapest,Hays Hungary Kft.,/allas/global_berendezesfejleszto_sw_fejleszto_mernok/RB-4562#adtype=indOA
483,Global berendezésfejlesztő / SW fejlesztő mérnök,Veszprém,Hire-One Személyzeti Tanácsadó Kft.,/allas/sap_solution_architect/PJ-6255#adtype=indCU
484,SAP Solution Architect,Budapest,Randstad Hungary Kft,/allas/sap_ibp_consultant/TW-6660#adtype=indCU
485,SAP IBP Consultant,Budapest,EasyHiring Services Kft.,/allas/java_spring_fejleszto/CE-2632#adtype=indCU
486,Java (Spring) Fejlesztő (Pest,megye,EasyHiring Services Kft.,/allas/information_security_program_analyst/KO-0492#adtype=indCU
487,Information Security Program Analyst,Magyarország,EasyHiring Services Kft.,/allas/it_process_specialist/TF-2786#adtype=indCU
488,IT Process Specialist,Nyíregyháza,EasyHiring Services Kft.,/allas/beagyazott_sw_fejlesztomernok_ipari_halozati_eszkozok/YG-2365#adtype=indCU
489,Beágyazott SW fejlesztőmérnök (ipari hálózati eszközök),Veszprém,Randstad Hungary Kft,/allas/sap_bw4hana_supporter/TN-9435#adtype=indCU
490,SAP BW/4HANA supporter,Budapest,EasyHiring Services Kft.,/allas/backend_fejleszto/HV-4444#adtype=indCU
491,Backend fejlesztő,Pécs,Trenkwalder Kft.,/allas/development_project_manager_rolls_royce/IG-6121#adtype=indCU
492,Development Project Manager (Rolls-Royce),Budapest,Hays Hungary Kft.,/allas/java_backend_developer/XD-4543#adtype=indCU
493,Java backend developer,Magyarország,Hays Hungary Kft.,/allas/senior_full_stack_developer_cangular/XT-2908#adtype=indCU
494,Senior Full-stack developer C#/Angular,Budapest,Hays Hungary Kft.,/allas/junior_java_fejleszto/SG-3490#adtype=indCU
495,Junior Java Fejlesztő,Budapest,EasyHiring Services Kft.,/allas/senior_mes_process_coordinator/SW-3978#adtype=indCU
496,Senior MES Process Coordinator,Budapest,Trenkwalder Kft.,/allas/java_software_developer/BD-9160#adtype=indCU
497,Java Software Developer,Budapest,Hays Hungary Kft.,/allas/it_rendszergazda/CI-6043#adtype=indCU
498,IT Rendszergazda,Kecskemét,Trenkwalder Kft.,/allas/devops_engineer/JB-0771#adtype=indCU
499,DevOps Engineer,Budapest,Hays Hungary Kft.,/allas/it_project_koordinator/BN-9879#adtype=indCU
500,IT project koordinator,Budapest,EasyHiring Services Kft.,/allas/sap_master_data_application_consultant/UM-8584#adtype=indCU
501,SAP Master Data Application Consultant,Budapest,EasyHiring Services Kft.,/allas/reporting_expert_sap_analytics_cloud_bw/AE-5909#adtype=indCU
502,Reporting Expert - SAP Analytics Cloud / BW,Budapest,Hays Hungary Kft.,/allas/engineering_team_leader/HQ-7868#adtype=indCU
503,engineering team leader,Érd,EasyHiring Services Kft.,/allas/german_service_desk_representative/ZM-0301#adtype=indCU
