Corporation,Main,Location
"Accenture, s.r.o.",Azure Machine Learning developer (Permanent Home Office Possible),"Bratislava, Slovakia (Job with occasional home office)"
Scheidt & Bachmann Slovensko s.r.o.,SW Integrátor/tester (Študent 3. - 4. ročníka VŠ),"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
ComAp Slovakia s.r.o.,Product Engineer,"Košice, Slovakia (Job with occasional home office)"
"ADECCO Slovakia, s. r. o.","RPA Engineer (skúseností s RPA - výhodou, dôležitý je však technický backround!)","Košice, Bratislava"
Scheidt & Bachmann Slovensko s.r.o.,Testovací inžinier SW,"Žilina, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
"NN Životná poisťovňa, a.s.",Aktuár - Senior,"Jesenského 4, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
FREQUENTIS Solutions & Services s. r. o.,Software Developer in Air Traffic Management ,Remote work
PwC,Actuarial Prophet (FIS Model Developer) Modeler,"Bratislava, Slovakia (Job with occasional home office)"
B - IT Consult s.r.o.,Test environment administrator,"Bratislava, Slovakia (Job with occasional home office)"
Swiss Re,Business Analyst,"Mlynské nivy, Bratislava, Slovakia (Job with occasional home office)"
Východoslovenská energetika Holding a.s.,BI developer,"Mlynská 31/837, Košice"
Solargis s. r. o.,Test Leader/ Tester,"Bottova 2a, Bratislava, Slovakia (Job with occasional home office)"
Grafton Slovakia s.r.o.,C++ Developer na vývoj softvéru v priemysle,Bratislava
Pôdohospodárska Platobná Agentúra,Špecialista GIS/AMS - plošný monitorovací systém,Bratislava
LeitnerLeitner,Senior business konzultant pre digitálnu transformáciu,"Staromestská 3, Bratislava, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
"ESET, spol. s r.o.",Big Data System Administrator (opportunity also for junior),"Bratislava, Slovakia (Job with occasional home office)"
Lugera & Maklér spol.s r.o.,ICT Administrator / Networking,Bratislava
Deutsche Telekom Services Europe Slovakia s.r.o.,SCRUM Master ,"Košice, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",DevOps Engineer,"Bratislava, Slovakia (Job with occasional home office)"
"ADECCO Slovakia, s. r. o.",Automation engineer senior,Remote work
Dell,Data Science Senior Analyst for Pricing (2022/2023 graduates),"Bratislava, Slovakia (Job with occasional home office)"
"Accenture, s.r.o.",Quantum computing developer /engineer (part-time student),"Bratislava, Slovakia (Job with occasional home office)"
"FENESTRA Sk, spol. s r.o.",Systémový inžinier,"Priemyselná 17, Zlaté Moravce, Slovensko (Pozícia umožňuje občasnú prácu z domu)"
Pro HR,AI/Python Developer (senior),Remote work
Deutsche Telekom IT Solutions Slovakia,Data Engineer,"Košice, Slovakia (Job with occasional home office)"
"HighChem s.r.o., součást Thermo Fisher Scientific",Test automation engineer,"Nivy Tower, Mlynské nivy, Bratislava"
Siemens Slovensko,Application Tester - Python,Žilina
