ID,Main,Location,Corporation,Salary,Href,Date
0,Junior ServiceNow Consultant,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1325199/junior-servicenow-consultant,2023-02-19
1,Senior ServiceNow Consultant,Bratislava,IBM, 3 200 EUR/mesiac,pracovna-ponuka/1325197/senior-servicenow-consultant,2023-02-19
2,Mainframe (ASO) Developer,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1325063/mainframe-aso-developer,2023-02-19
3,ASO Admin,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1325035/aso-admin,2023-02-19
4,Špecialista IT bezpečnosti a GDPR s nemeckým jazykom (ž/m),Bratislava,"dm drogerie markt, s.r.o.", 2 949 EUR/mesiac,pracovna-ponuka/1325003/specialista-it-bezpecnosti-a-gdpr-s-nemeckym-jazykom-z-m-,2023-02-19
5,Cloud Migration Architect,Bratislava,IBM, 3 600 EUR/mesiac,pracovna-ponuka/1319068/cloud-migration-architect,2023-02-19
6,Join our Mobile community! (iOS/Android/Hybrid),Bratislava,IBM, 1 800 EUR/mesiac,pracovna-ponuka/1097143/join-our-mobile-community-ios-android-hybrid-,2023-02-19
7,SAP Analytics Consultant,Bratislava,IBM, 2 500 EUR/mesiac,pracovna-ponuka/1304825/sap-analytics-consultant,2023-02-19
8,SharePoint / Power Platform Developer,,IBM, 2 300 EUR/mesiac,pracovna-ponuka/1086629/sharepoint-power-platform-developer,2023-02-19
9,Application Developer - Experience Front End,Košice,IBM, 1 800 EUR/mesiac,pracovna-ponuka/1310083/application-developer-experience-front-end,2023-02-19
10,Senior SAP SuccessFactors Consultant,Bratislava,IBM, 3 500 EUR/mesiac,pracovna-ponuka/1304687/senior-sap-successfactors-consultant,2023-02-19
11,Workday HCM Consultant,Bratislava,IBM, 3 000 EUR/mesiac,pracovna-ponuka/1304655/workday-hcm-consultant,2023-02-19
12,Web Developer,Bratislava,"Zoznam, s.r.o.", 2 000 EUR/mesiac,pracovna-ponuka/98484/web-developer,2023-02-19
13,Technical/Operations Support Specialist,Bratislava,IBM, 1 600 EUR/mesiac,pracovna-ponuka/1096943/technical-operations-support-specialist,2023-02-19
14,Experienced .NET/C# Developer,"Bratislavský kraj, Banskobystrický kraj, Košický kraj, Bratislava, Banská Bystrica, Košice",IBM, 2 200 EUR/mesiac,pracovna-ponuka/1002165/experienced-net-c-developer,2023-02-19
15,Node.JS Developer (Ref. č.: 1-16-40912),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1298125/node-js-developer-ref-c-1-16-40912-,2023-02-19
16,React  Developer (Ref. č.: 1-16-40908),Bratislava,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1297955/react-developer-ref-c-1-16-40908-,2023-02-19
17,App IT Tester|REMOTE|aj ABSOLVENTI (Ref. č.: 1-16-41605),Bratislava,Grafton Slovakia s.r.o., 1 200 EUR/mesiac,pracovna-ponuka/1319340/app-it-testerremoteaj-absolventi-ref-c-1-16-41605-,2023-02-19
18,Senior IT Analytik (Ref. č.: 1-15-41604),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319338/senior-it-analytik-ref-c-1-15-41604-,2023-02-19
19,IT Test Manager/REMOTE (Ref. č.: 1-16-41599),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1319336/it-test-manager-remote-ref-c-1-16-41599-,2023-02-19
20,IT Architect (Ref. č.: 1-16-41598),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1319332/it-architect-ref-c-1-16-41598-,2023-02-19
21,SLA Manager (Ref. č.: 1-15-41602),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319330/sla-manager-ref-c-1-15-41602-,2023-02-19
22,IT projektový manažér (Ref. č.: 1-15-41603),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319328/it-projektovy-manazer-ref-c-1-15-41603-,2023-02-19
23,IT Analytik - Team Leader (Ref. č.: 1-15-41609),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1319326/it-analytik-team-leader-ref-c-1-15-41609-,2023-02-19
24,IAM administrátor - TPP & REMOTE (Ref. č.: 1-16-41336),Nitra,Grafton Slovakia s.r.o., 1 600 EUR/mesiac,pracovna-ponuka/1310347/iam-administrator-tpp-remote-ref-c-1-16-41336-,2023-02-19
25,Production Hardware Engineer (Ref. č.: 1-12-41341),Skalica,Grafton Slovakia s.r.o., 1 500 EUR/mesiac,pracovna-ponuka/1310343/production-hardware-engineer-ref-c-1-12-41341-,2023-02-19
26,SAP programátor/vývojár (Ref. č.: 6-16-41355),Ilava,Grafton Slovakia s.r.o., 2 400 EUR/mesiac,pracovna-ponuka/1310283/sap-programator-vyvojar-ref-c-6-16-41355-,2023-02-19
27,"Data Engineer - TPP/freelance, možnosť REMOTE (Ref. č.: 1-16-39546)",Košice,Grafton Slovakia s.r.o., 1 800 EUR/mesiac,pracovna-ponuka/1297557/data-engineer-tpp-freelance-moznost-remote-ref-c-1-16-39546-,2023-02-19
28, Network Services Engineer,Bratislava,IBM, 3 300 EUR/mesiac,pracovna-ponuka/1323937/network-services-engineer,2023-02-19
29,Senior Network Security Engineer (Ref. č.: 131-15-41773),Bratislava,Grafton Slovakia s.r.o., 3 000 EUR/mesiac,pracovna-ponuka/1324841/senior-network-security-engineer-ref-c-131-15-41773-,2023-02-19
30,Network Security Engineer - Check Point (Ref. č.: 131-15-41772),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1324839/network-security-engineer-check-point-ref-c-131-15-41772-,2023-02-19
31,IT Project Manager - financne sector (Ref. č.: 1-15-39900),Bratislava,Grafton Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1149207/it-project-manager-financne-sector-ref-c-1-15-39900-,2023-02-19
