Corporation,Main,Labels
Deutsche Telekom IT Solutions,Tapasztalt tesztelő német nyelvtudással (REF126D) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;német - középfokú
Thyssenkrupp,Rendszerintegrációs mérnök (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Thyssenkrupp,Szoftver tesztautomatizáló mérnök (Győr) (Győr),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Oracle Database Administrator (REF179W) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Senior/Experienced Oracle Database Administrator( REF1251Z) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Thyssenkrupp,Szoftver tesztautomatizáló mérnök (biztonságkritikus diagnosztika) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Technical Process Specialist (REF705I) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Thyssenkrupp,Hardverfejlesztő mérnök (Veszprém) (Veszprém),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Senior Project Manager (REF1450G) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Experienced/Senior Data Engineer (REF1343L) (Budapest),"1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,AWS Data Architect - REF339V (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Randstad Hungary Kft,Medior/Senior Test Automation Engineer (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Szerver és hálózat rendszeradminisztrátor - Server and Network administrator (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Azure Platform Engineer (REF62K) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Test Manager (REF623L) (Budapest),5+ év tapasztalat;beosztott;Felsőfokú végzettség;Középfokú végzettség;teljes munkaidő;angol - felsőfokú;német - középfokú
Deutsche Telekom IT Solutions,Software Engineer on network field (REF223C) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Service Now Developer (REF86R) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Operations Manager EDI (REF513Z) (Budapest),1 - 2 év tapasztalat;középvezető;Felsőfokú végzettség;teljes munkaidő;angol - középfokú;német - középfokú
Deutsche Telekom IT Solutions,Experienced Fullstack Developer (REF1022I) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - középfokú
Deutsche Telekom IT Solutions,Software Engineer (Java/Microservices) (REF274B) (Budapest),3 - 5 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,Azure Platform Engineer (REF62K) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Senior Network Architect (Open Telekom Cloud) - REF482J (Budapest),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - felsőfokú
Thyssenkrupp,Szoftverintegrációs mérnök (automatizáció) (Budapest),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - felsőfokú"
Thyssenkrupp,Szoftver tesztautomatizáló mérnök (Veszprém) (Veszprém),"1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;távmunka, home office;angol - középfokú"
Deutsche Telekom IT Solutions,Cloud Portal Developer (Microsoft Azure) (REF730S) (Budapest),1 - 2 év tapasztalat;3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Németül beszélő Customer Service Specialist (REF1256T) (Debrecen),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - felsőfokú;angol - középfokú
Deutsche Telekom IT Solutions,COGNOS expert (REF1469X) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - középfokú
Deutsche Telekom IT Solutions,"Microsoft Application Administrator - Skype for Business, Teams (REF974Y) (Budapest)",1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;angol - felsőfokú
Deutsche Telekom IT Solutions,Application Administrator (Patch management) (REF1471N) (Budapest),1 - 2 év tapasztalat;beosztott;Középfokú végzettség;teljes munkaidő;német - középfokú
Randstad Hungary Kft,SAP Consultant (PP) (Magyarország),3 - 5 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
Randstad Hungary Kft,Cloud Engineer (Azure) (Budapest),1 - 2 év tapasztalat;beosztott;Felsőfokú végzettség;teljes munkaidő;angol - középfokú
