ID,Main,Location,Corporation,Href,Date
0,C Software Engineer,Veszprém megye,Randstad Hungary Kft,https://itpeople.hu/allasok/veszprem/c-software-engineer/3455000,2023-03-04
1,Identity & Access Management ,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/identityaccess-management-iam-analyst-2-officer/3454000,2023-03-04
2,Java/Angular Developer,Budapest,Randstad Hungary Kft,https://itpeople.hu/allasok/budapest/javaangular-developer/3453000,2023-03-04
3,German speaking System Implement...,Országos,Randstad Hungary Kft,https://itpeople.hu/allasok/orszagos/german-speaking-system-implementation-specialist-onsite/3452000,2023-03-04
4,Környezetvédelmi szoftver teszte...,Budapest,zyntern,https://itpeople.hu/allasok/budapest/kornyezetvedelmi-szoftver-tesztelo-gyakornok/3451000,2023-03-04
5,C Software Engineer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/c-software-engineer/3450000,2023-03-04
6,Enterprise architect,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/enterprise-architect/3449000,2023-03-04
7,SAP ABAP Developer - Specialist,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/sap-abap-developer-specialist/3448000,2023-03-04
8,Rendszergazda,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/rendszergazda/3447000,2023-03-04
9,Front-end Developer,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/front-end-developer/3446000,2023-03-04
10,SAP BW/4HANA Developer,Országos,Randstad Hungary,https://itpeople.hu/allasok/orszagos/sap-bw4hana-developer/3445000,2023-03-04
11,IT gyakornok,Győr-Moson-Sopron megye,zyntern,https://itpeople.hu/allasok/gyor/it-gyakornok/3326000,2023-03-04
12,Intermediate License Management ...,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/intermediate-license-management-analyst/3324000,2023-03-04
13,SAP Consultant ,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/sap-consultant-pp/3323000,2023-03-04
14,Application Development Project ...,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/application-development-project-manager/3322000,2023-03-04
15,Python Developer for Engineering...,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/python-developer-for-engineering-expert/3321000,2023-03-04
16,Embedded Firmware Developer,Budapest,Randstad Hungary,https://itpeople.hu/allasok/budapest/embedded-firmware-developer/3320000,2023-03-04
17,Beágyazott SW fejlesztőmérnök ,Veszprém megye,Randstad Hungary,https://itpeople.hu/allasok/veszprem/beagyazott-sw-fejlesztomernok-ipari-halozati-eszkozok/3319000,2023-03-04
18,Jelentkezz grafikus diákmunkánkr...,Budapest,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/budapest/jelentkezz-grafikus-diakmunkankra-es-engedd-szabadjara-a-kreativitasod/3318000,2023-03-04
19,IT Project Manager junior,Országos,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/orszagos/it-project-manager-junior/3317000,2023-03-04
20,IT admin junior,Országos,Trenkwalder Recruitment Kft,https://itpeople.hu/allasok/orszagos/it-admin-junior/3316000,2023-03-04
21,Diákmunka - IT gyakornok,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest-xi-kerulet/diakmunka-it-gyakornok/3311000,2023-03-04
22,Diákmunka - Cloud Infrastructure...,Budapest,Műisz Iskolaszövetkezet,https://itpeople.hu/allasok/budapest/diakmunka-cloud-infrastructure-engineer-intern/3313000,2023-03-04
