ID,Main,Location,Corporation,Href,Date
95,Security Solution Administrator - Platform Operation (REF1249B),Budapest,Deutsche Telekom IT Solutions,/allas/security_solution_administrator_platform_operation_ref1249b/OV-3451#adtype=dirCU,2023-04-04
96,Head of Team - Hyperscaler (REF1557F),Budapest,Deutsche Telekom IT Solutions,/allas/head_of_team_hyperscaler_ref1557f/BS-9622#adtype=dirCU,2023-04-04
97,Alkalmazás üzemeltető (REF382J),Budapest,Deutsche Telekom IT Solutions,/allas/alkalmazas_uzemelteto_ref382j/KV-8739#adtype=dirCU,2023-04-04
98,Security Solution Administrator - Antivirus Operation (REF565Y),Budapest,Deutsche Telekom IT Solutions,/allas/security_solution_administrator_antivirus_operation_ref565y/GE-5175#adtype=dirCU,2023-04-04
99,Experienced Business Analyst – ServiceNow (REF1622G),Budapest,Deutsche Telekom IT Solutions,/allas/experienced_business_analyst_servicenow_ref1622g/FH-8272#adtype=dirCU,2023-04-04
100,Szoftverfejlesztő mérnök - beágyazott rendszerekhez,Győr,Thyssenkrupp,/allas/szoftverfejleszto_mernok_beagyazott_rendszerekhez/NF-5941#adtype=dirCU,2023-04-04
101,Test Engineer for Cloud Billing - REF989F,Budapest,Deutsche Telekom IT Solutions,/allas/test_engineer_for_cloud_billing_ref989f/BY-0394#adtype=dirCU,2023-04-04
102,Customer Success Manager (REF1205O),Budapest,Deutsche Telekom IT Solutions,/allas/customer_success_manager_ref1205o/SF-7550#adtype=dirCU,2023-04-04
103,WMS szakértő és folyamatfejlesztő,Üllő,Rossmann Magyarország Kft.,/allas/wms_szakerto_es_folyamatfejleszto/KI-7742#adtype=dirOA,2023-04-04
104,Microsoft szoftverfejlesztő (REF171M),Budapest,Deutsche Telekom IT Solutions,/allas/microsoft_szoftverfejleszto_ref171m/VJ-6833#adtype=dirCU,2023-04-04
105,Volkswagen - Application Support (REF929P),Budapest,Deutsche Telekom IT Solutions,/allas/volkswagen_application_support_ref929p/MK-7697#adtype=dirCU,2023-04-04
106,Senior németül beszélő Java fejlesztő logisztikai területre (REF967M),Budapest,Deutsche Telekom IT Solutions,/allas/senior_nemetul_beszelo_java_fejleszto_logisztikai_teruletre_ref967m/VQ-4011#adtype=dirCU,2023-04-04
107,Testautomation Developer (REF1535D),Budapest,Deutsche Telekom IT Solutions,/allas/testautomation_developer_ref1535d/DV-5970#adtype=dirCU,2023-04-04
108,Senior Mainframe Application Administrator (REF503D),Budapest,Deutsche Telekom IT Solutions,/allas/senior_mainframe_application_administrator_ref503d/GP-3394#adtype=dirCU,2023-04-04
109,DevOps Engineer (REF215M),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_ref215m/MB-9628#adtype=dirCU,2023-04-04
110,Network Engineer (REF218L),Budapest,Deutsche Telekom IT Solutions,/allas/network_engineer_ref218l/TI-0042#adtype=dirCU,2023-04-04
111,Senior PLM / ALM Application Engineer,Budapest,Thyssenkrupp,/allas/senior_plm_alm_application_engineer/HB-7857#adtype=dirCU,2023-04-04
112,Head of Internal IT – Service HUB Owner (REF1425U),Budapest,Deutsche Telekom IT Solutions,/allas/head_of_internal_it_service_hub_owner_ref1425u/ZS-1984#adtype=dirCU,2023-04-04
113,Frontend Developer (REF983S),Budapest,Deutsche Telekom IT Solutions,/allas/frontend_developer_ref983s/MV-4379#adtype=dirCU,2023-04-04
