ID,Main,Location,Corporation,Href,Date
0,.Net fejlesztő,Budapest,HVG Kiadó Zrt.,/allas/net_fejleszto/MO-6652#adtype=dirOA,2023-04-17
1,Informatikai munkatárs,Monor,SHINHEUNG SEC EU KFT.,/allas/informatikai_munkatars/WY-7262#adtype=dirOA,2023-04-17
2,RENDSZERGAZDA,Budapest,Nemzeti Sportügynökség Nonprofit Zrt.,/allas/rendszergazda/PT-7042#adtype=dirOA,2023-04-17
3,SZOFTVER TÁMOGATÓ,Gödöllő,HumanField Kft.,/allas/szoftver_tamogato/YC-4607#adtype=indOA,2023-04-17
4,Betanított mobiltelefon tesztelő,Budapest,Hadrianus Kft.,/allas/betanitott_mobiltelefon_tesztelo/BG-9750#adtype=dirOA,2023-04-17
5,Junior SAP FI alkalmazás támogató és folyamatfejlesztő,Budapest,Vöröskő Kft.,/allas/junior_sap_fi_alkalmazas_tamogato_es_folyamatfejleszto/TU-6273#adtype=dirCU,2023-04-17
6,Kutatási menedzser,Budapest,HVG Kiadó Zrt.,/allas/kutatasi_menedzser/VF-5334#adtype=dirOA,2023-04-17
7,Tesztmenedzser,Budapest,Vöröskő Kft.,/allas/tesztmenedzser/TX-7280#adtype=dirCU,2023-04-17
8,SENIOR SOFTWARE ARCHITECT,Budapest,HVG Kiadó Zrt.,/allas/senior_software_architect/AZ-7219#adtype=dirOA,2023-04-17
9,Hardver tervező mérnök,Budapest,BHE Bonn Hungary Elektronikai Kft. ,/allas/hardver_tervezo_mernok/VZ-9870#adtype=dirOA,2023-04-17
10,IT szolgáltatásmenedzser,Budapest,BKV Zrt.,/allas/it_szolgaltatasmenedzser/RJ-3556#adtype=dirCU,2023-04-17
11,IT/Telekommunikációs mérnök,Magyarország,Dream Bells Kft.,/allas/ittelekommunikacios_mernok/KS-6740#adtype=dirOA,2023-04-17
12,rendszergazda,Budapest,TeVeComp 2009 Kft.,/allas/rendszergazda/UI-0844#adtype=dirOA,2023-04-17
13,Technical Incident Manager (REF1595T),Budapest,Deutsche Telekom IT Solutions,/allas/technical_incident_manager_ref1595t/FH-3749#adtype=dirCU,2023-04-17
