ID,Main,Location,Corporation,Salary,Href,Date
98,C# SW Developer,"Nitriansky kraj, Okres Nitra, Nitra","Muehlbauer Technologies, s.r.o.", 2 000 EUR/mesiacPonuka onedlho končí,pracovna-ponuka/1328539/c-sw-developer,2023-04-06
99,C++ Developer ( medior/senior),"Nitriansky kraj, Okres Nitra, Nitra","Muehlbauer Technologies, s.r.o.", 2 000 EUR/mesiacPonuka onedlho končí,pracovna-ponuka/1301897/c-developer-medior-senior-,2023-04-06
100,Application Administrator|REMOTE|aj JUNIORI (Ref. č.: 1-16-41096),Košice,Grafton Slovakia s.r.o., 1 300 EUR/mesiac,pracovna-ponuka/1302641/application-administratorremoteaj-juniori-ref-c-1-16-41096-,2023-04-06
101,Project Manager Junior - Home Office/Office,Bratislava,msg life Slovakia s.r.o., 2 200 EUR/mesiac,pracovna-ponuka/1320104/project-manager-junior-home-office-office,2023-04-06
102,Java developer - Home Office/Office,Bratislava,msg life Slovakia s.r.o., 2 700 EUR/mesiac,pracovna-ponuka/1320100/java-developer-home-office-office,2023-04-06
103,Integračný architekt - Home Office/Office,Slovenská republika,msg life Slovakia s.r.o., 2 500 EUR/mesiac,pracovna-ponuka/1273295/integracny-architekt-home-office-office,2023-04-06
104,DevOps inžinier - Home Office/Office,"Práca z domu, Bratislava, Košice, Žilina",msg life Slovakia s.r.o., 2 200 EUR/mesiacVhné,pracovna-ponuka/1132531/devops-inzinier-home-office-office,2023-04-06
105,Java programátor junior - Home Office/Office,"Práca z domu, Bratislava, Košice, Žilina",msg life Slovakia s.r.o., 1 900 EUR/mesiacVhné,pracovna-ponuka/1132445/java-programator-junior-home-office-office,2023-04-06
106,Java programátor expert - Home Office/Office,"Práca z domu, Bratislava, Košice, Žilina",msg life Slovakia s.r.o., 3 000 EUR/mesiacVhné,pracovna-ponuka/1132415/java-programator-expert-home-office-office,2023-04-06
107,"Senior systémový & aplikačný administrator(Windows/Linux)- TPP, REMOTE (Ref. č.: 1-16-39789)",Nitra,Grafton Slovakia s.r.o., 2 000 EUR/mesiac,pracovna-ponuka/1138505/senior-systemovy-aplikacny-administrator-windows-linux-tpp-remote-ref-c-1-16-39789-,2023-04-06
